Price per cubic foot (LKR),Size (cu.ft),Wood Species,Wood Grade,Location,Building Type
387,28.01,ginisapu,B,Indoor,Roofing Components
1500,28.2,thulan,A,Indoor,Door/window
347,27.89,lunumidella,C,Outdoor,Roofing Components
450,9.93,ginisapu,A,Indoor,Roofing Components
460,9.16,burutha,B,Semi,Structural Framing
450,2.34,ginisapu,A,Indoor,Roofing Components
400,17.86,mango,A,Indoor,Structural Framing
375,13.21,lunumidella,B,Outdoor,Roofing Components
600,17.08,burutha,A,Semi,Structural Framing
120,16.18,mango,C,Indoor,Door/window
964,28.41,kempas,B,Semi,Roofing Components
887,10.42,jak,B,Semi,Structural Framing
702,16.66,teak,C,Semi,Door/window
920,6.56,mahoganii,B,Semi,Structural Framing
2800,8.7,kempas,A,Semi,Structural Framing
450,20.55,ginisapu,A,Indoor,Roofing Components
360,25.38,ginisapu,B,Indoor,Roofing Components
750,25.58,mahoganii,A,Semi,Door/window
320,6.73,mango,B,Indoor,Structural Framing
273,22.78,ginisapu,C,Indoor,Roofing Components
1000,15.8,microo,A,Indoor,Door/window
393,4.8,ginisapu,B,Indoor,Roofing Components
400,13.91,mango,A,Indoor,Structural Framing
446,14.38,lunumidella,B,Outdoor,Roofing Components
498,3.24,burutha,B,Semi,Structural Framing
1200,28.82,teak,A,Semi,Structural Framing
850,15.68,jak,A,Semi,Door/window
1050,3.2,mahoganii,A,Semi,Structural Framing
162,22.07,mango,B,Indoor,Door/window
400,10.94,mango,A,Indoor,Structural Framing
1564,21.36,microo,B,Indoor,Structural Framing
143,12.84,ginisapu,C,Indoor,Door/window
2800,14.8,kempas,A,Semi,Structural Framing
2800,11.79,kempas,A,Semi,Structural Framing
2365,4.6,kempas,B,Semi,Structural Framing
411,7.02,burutha,C,Semi,Structural Framing
1559,24.09,kubuk,B,Outdoor,Structural Framing
1665,5.82,microo,B,Indoor,Structural Framing
436,1.23,lunumidella,B,Indoor,Roofing Components
412,16.07,burutha,B,Semi,Door/window
2212,10.29,kempas,B,Semi,Structural Framing
2800,21.41,kempas,A,Semi,Structural Framing
702,21.11,kempas,C,Semi,Roofing Components
350,26.1,pinewood,C,Indoor,Roofing Components
364,19.66,ginisapu,B,Indoor,Roofing Components
850,7.86,jak,A,Semi,Door/window
600,26.07,pinewood,A,Indoor,Roofing Components
351,6.66,burutha,C,Semi,Structural Framing
1500,24.95,thulan,A,Indoor,Door/window
378,5.59,ginisapu,B,Indoor,Roofing Components
1200,4.32,teak,A,Semi,Door/window
425,9.6,lunumidella,B,Indoor,Roofing Components
1050,6.43,mahoganii,A,Semi,Structural Framing
2506,23.82,thulan,B,Indoor,Structural Framing
713,21.81,teak,C,Semi,Structural Framing
582,14.33,jak,C,Semi,Door/window
443,19.19,lunumidella,B,Indoor,Roofing Components
1860,25.86,kempas,C,Semi,Structural Framing
348,1.06,burutha,C,Semi,Structural Framing
1500,11.66,kempas,A,Semi,Door/window
370,12.5,ginisapu,B,Indoor,Roofing Components
869,14.94,microo,B,Indoor,Door/window
200,21.6,mango,A,Indoor,Door/window
467,12.84,burutha,B,Semi,Structural Framing
1613,15.45,kubuk,B,Outdoor,Structural Framing
500,28.71,burutha,A,Semi,Door/window
1000,11.97,microo,A,Indoor,Door/window
289,4.18,ginisapu,C,Indoor,Roofing Components
235,11.93,mango,C,Indoor,Structural Framing
850,13.48,jak,A,Semi,Door/window
446,27.38,lunumidella,B,Indoor,Roofing Components
845,27.86,thulan,C,Indoor,Door/window
618,3.94,mahoganii,C,Semi,Structural Framing
386,24.75,burutha,C,Semi,Structural Framing
3000,18.69,thulan,A,Indoor,Structural Framing
750,6.1,mahoganii,A,Semi,Door/window
350,22.85,ginisapu,B,Indoor,Roofing Components
500,21.14,lunumidella,A,Indoor,Roofing Components
782,24.79,teak,C,Semi,Door/window
1331,8.93,microo,C,Indoor,Structural Framing
122,22.14,mango,C,Indoor,Door/window
1744,20.17,kubuk,B,Outdoor,Structural Framing
500,29.52,burutha,A,Semi,Door/window
825,2.34,kempas,C,Semi,Roofing Components
378,18.16,ginisapu,B,Indoor,Roofing Components
962,24.82,kempas,B,Semi,Roofing Components
828,24.58,jak,B,Semi,Structural Framing
600,10.35,burutha,A,Semi,Structural Framing
448,19.89,burutha,B,Semi,Door/window
610,9.52,microo,C,Indoor,Door/window
158,28.51,ginisapu,C,Indoor,Door/window
2545,10.88,thulan,B,Indoor,Structural Framing
526,17.0,pinewood,B,Indoor,Roofing Components
645,6.76,mahoganii,B,Semi,Door/window
403,26.23,burutha,B,Semi,Door/window
900,24.67,teak,B,Semi,Structural Framing
294,7.39,lunumidella,C,Outdoor,Roofing Components
795,9.92,teak,C,Semi,Structural Framing
2000,17.13,microo,A,Indoor,Structural Framing
1500,8.13,thulan,A,Indoor,Door/window
302,11.55,lunumidella,C,Outdoor,Roofing Components
281,9.94,lunumidella,C,Indoor,Roofing Components
696,29.1,microo,C,Indoor,Door/window
400,14.35,mango,A,Indoor,Structural Framing
1236,10.42,kubuk,C,Outdoor,Structural Framing
600,28.82,pinewood,A,Indoor,Roofing Components
980,27.07,kempas,B,Semi,Roofing Components
400,17.33,mango,A,Indoor,Structural Framing
978,9.56,kempas,B,Semi,Roofing Components
500,2.6,lunumidella,A,Outdoor,Roofing Components
1632,12.92,kubuk,B,Outdoor,Structural Framing
301,12.38,lunumidella,C,Outdoor,Roofing Components
600,18.2,pinewood,A,Indoor,Roofing Components
726,10.27,mahoganii,C,Semi,Structural Framing
1200,15.33,teak,A,Semi,Door/window
1500,11.19,kempas,A,Semi,Door/window
600,21.14,pinewood,A,Indoor,Roofing Components
1394,29.24,microo,C,Indoor,Structural Framing
500,26.62,lunumidella,A,Outdoor,Roofing Components
125,12.14,mango,C,Indoor,Door/window
500,8.89,burutha,A,Semi,Door/window
450,7.46,ginisapu,A,Indoor,Roofing Components
332,6.57,lunumidella,C,Outdoor,Roofing Components
156,2.6,mango,B,Indoor,Door/window
611,15.89,mahoganii,B,Semi,Door/window
402,26.43,lunumidella,B,Indoor,Roofing Components
600,21.85,pinewood,A,Indoor,Roofing Components
1571,13.06,microo,B,Indoor,Structural Framing
1001,23.09,kempas,C,Semi,Door/window
1200,21.42,teak,A,Semi,Door/window
670,23.22,kempas,C,Semi,Roofing Components
391,10.99,lunumidella,B,Semi,Roofing Components
2000,17.88,kubuk,A,Outdoor,Structural Framing
2430,3.38,kempas,B,Semi,Structural Framing
3000,1.43,thulan,A,Indoor,Structural Framing
600,1.63,burutha,A,Semi,Structural Framing
1500,28.09,thulan,A,Indoor,Door/window
667,1.03,jak,B,Semi,Door/window
782,6.74,kempas,C,Semi,Roofing Components
951,1.72,kempas,B,Semi,Roofing Components
1500,2.81,kempas,A,Semi,Door/window
892,25.26,jak,B,Semi,Structural Framing
1200,7.41,kempas,A,Semi,Roofing Components
1500,12.85,kempas,A,Semi,Door/window
500,17.19,lunumidella,A,Outdoor,Roofing Components
1200,4.12,kempas,A,Semi,Roofing Components
363,13.61,pinewood,C,Indoor,Roofing Components
310,16.52,lunumidella,C,Semi,Roofing Components
687,29.81,microo,C,Indoor,Door/window
765,16.57,teak,C,Semi,Structural Framing
195,26.33,ginisapu,B,Indoor,Door/window
871,8.74,kempas,C,Semi,Door/window
450,5.37,ginisapu,A,Indoor,Roofing Components
888,3.84,mahoganii,B,Semi,Structural Framing
167,16.64,ginisapu,C,Indoor,Door/window
695,12.81,teak,C,Semi,Structural Framing
383,3.3,lunumidella,B,Semi,Roofing Components
1050,25.08,mahoganii,A,Semi,Structural Framing
1309,10.07,microo,C,Indoor,Structural Framing
500,23.09,burutha,A,Semi,Door/window
665,11.15,kempas,C,Semi,Roofing Components
450,13.34,ginisapu,A,Indoor,Roofing Components
364,16.33,ginisapu,B,Indoor,Roofing Components
150,1.86,mango,B,Indoor,Door/window
600,6.72,burutha,A,Semi,Structural Framing
730,6.81,jak,B,Semi,Door/window
1200,18.8,kempas,A,Semi,Roofing Components
450,15.27,ginisapu,A,Indoor,Roofing Components
569,10.33,microo,C,Indoor,Door/window
1000,7.59,microo,A,Indoor,Door/window
1200,9.29,kempas,A,Semi,Roofing Components
1200,11.52,teak,A,Semi,Door/window
454,14.05,pinewood,B,Indoor,Roofing Components
600,18.89,pinewood,A,Indoor,Roofing Components
187,28.5,ginisapu,B,Indoor,Door/window
343,11.2,lunumidella,C,Indoor,Roofing Components
600,14.6,pinewood,A,Indoor,Roofing Components
1233,22.07,thulan,B,Indoor,Door/window
255,19.27,ginisapu,C,Indoor,Roofing Components
308,18.19,lunumidella,C,Indoor,Roofing Components
910,27.46,kempas,C,Semi,Door/window
600,8.23,pinewood,A,Indoor,Roofing Components
500,9.97,burutha,A,Semi,Door/window
559,6.76,jak,C,Semi,Structural Framing
600,28.2,burutha,A,Semi,Structural Framing
573,7.29,jak,C,Semi,Door/window
154,18.48,ginisapu,C,Indoor,Door/window
600,24.73,burutha,A,Semi,Structural Framing
250,13.08,ginisapu,A,Indoor,Door/window
1714,18.35,kubuk,B,Outdoor,Structural Framing
474,1.38,mahoganii,C,Semi,Door/window
376,24.76,pinewood,C,Indoor,Roofing Components
577,29.08,mahoganii,C,Semi,Structural Framing
371,23.64,ginisapu,B,Indoor,Roofing Components
304,6.73,lunumidella,C,Indoor,Roofing Components
255,11.45,ginisapu,C,Indoor,Roofing Components
1200,6.3,teak,A,Semi,Structural Framing
478,16.85,pinewood,B,Indoor,Roofing Components
851,27.03,jak,B,Semi,Structural Framing
800,11.84,mahoganii,B,Semi,Structural Framing
1500,8.99,kempas,A,Semi,Door/window
1777,22.77,microo,B,Indoor,Structural Framing
500,28.78,lunumidella,A,Semi,Roofing Components
500,13.49,lunumidella,A,Indoor,Roofing Components
1166,1.49,kempas,B,Semi,Door/window
1140,27.74,kubuk,C,Outdoor,Structural Framing
731,14.71,teak,C,Semi,Door/window
1200,27.97,kempas,A,Semi,Roofing Components
1737,22.3,microo,B,Indoor,Structural Framing
766,4.72,jak,B,Semi,Structural Framing
1200,14.8,teak,A,Semi,Structural Framing
1500,22.12,kempas,A,Semi,Door/window
669,14.76,kempas,C,Semi,Roofing Components
250,2.9,ginisapu,A,Indoor,Door/window
1789,11.5,kubuk,B,Outdoor,Structural Framing
600,24.97,burutha,A,Semi,Structural Framing
349,29.55,ginisapu,B,Indoor,Roofing Components
600,8.63,pinewood,A,Indoor,Roofing Components
215,26.02,ginisapu,B,Indoor,Door/window
429,14.45,burutha,B,Semi,Door/window
1000,29.02,jak,A,Semi,Structural Framing
1038,3.99,teak,B,Semi,Structural Framing
290,13.03,ginisapu,C,Indoor,Roofing Components
1677,3.77,microo,B,Indoor,Structural Framing
600,16.61,pinewood,A,Indoor,Roofing Components
1200,13.47,teak,A,Semi,Structural Framing
500,14.59,burutha,A,Semi,Door/window
750,11.74,mahoganii,A,Semi,Door/window
1078,2.12,teak,B,Semi,Door/window
820,25.95,kempas,C,Semi,Roofing Components
2436,25.02,thulan,B,Indoor,Structural Framing
784,12.47,kempas,C,Semi,Roofing Components
600,9.73,pinewood,A,Indoor,Roofing Components
820,26.41,microo,B,Indoor,Door/window
269,7.83,mango,C,Indoor,Structural Framing
500,7.17,burutha,A,Semi,Door/window
500,18.57,lunumidella,A,Indoor,Roofing Components
1173,26.81,kubuk,C,Outdoor,Structural Framing
3000,22.47,thulan,A,Indoor,Structural Framing
1072,6.81,kempas,B,Semi,Roofing Components
1771,22.62,kubuk,B,Outdoor,Structural Framing
467,29.28,burutha,B,Semi,Structural Framing
294,12.33,burutha,C,Semi,Door/window
1200,5.83,kempas,A,Semi,Roofing Components
1892,6.61,thulan,C,Indoor,Structural Framing
1151,14.2,kubuk,C,Outdoor,Structural Framing
262,25.25,ginisapu,C,Indoor,Roofing Components
282,4.2,ginisapu,C,Indoor,Roofing Components
1200,22.16,teak,A,Semi,Door/window
650,10.75,jak,B,Semi,Door/window
933,10.31,teak,B,Semi,Structural Framing
600,10.67,pinewood,A,Indoor,Roofing Components
902,7.73,mahoganii,B,Semi,Structural Framing
1603,11.45,kempas,C,Semi,Structural Framing
3000,26.52,thulan,A,Indoor,Structural Framing
1500,19.26,thulan,A,Indoor,Door/window
500,20.06,lunumidella,A,Semi,Roofing Components
355,27.12,ginisapu,B,Indoor,Roofing Components
2000,23.4,microo,A,Indoor,Structural Framing
750,16.5,mahoganii,A,Semi,Door/window
600,6.17,burutha,A,Semi,Structural Framing
2388,18.79,kempas,B,Semi,Structural Framing
1200,28.5,teak,A,Semi,Door/window
828,23.21,mahoganii,B,Semi,Structural Framing
339,27.7,ginisapu,B,Indoor,Roofing Components
929,9.23,teak,B,Semi,Structural Framing
277,4.1,ginisapu,C,Indoor,Roofing Components
776,7.18,microo,B,Indoor,Door/window
3000,17.41,thulan,A,Indoor,Structural Framing
723,26.62,jak,B,Semi,Door/window
957,17.5,kempas,B,Semi,Roofing Components
664,12.96,jak,B,Semi,Door/window
874,17.99,jak,B,Semi,Structural Framing
855,26.46,jak,B,Semi,Structural Framing
750,21.27,mahoganii,A,Semi,Door/window
618,26.67,mahoganii,B,Semi,Door/window
172,19.47,mango,B,Indoor,Door/window
460,13.53,pinewood,B,Indoor,Roofing Components
862,15.22,mahoganii,B,Semi,Structural Framing
358,15.22,burutha,C,Semi,Structural Framing
1505,27.5,kubuk,B,Outdoor,Structural Framing
1200,29.77,kempas,A,Semi,Roofing Components
351,2.03,ginisapu,B,Indoor,Roofing Components
526,8.92,pinewood,B,Indoor,Roofing Components
476,27.24,pinewood,B,Indoor,Roofing Components
452,23.85,burutha,B,Semi,Structural Framing
173,18.92,mango,B,Indoor,Door/window
200,12.61,mango,A,Indoor,Door/window
719,11.09,kempas,C,Semi,Roofing Components
425,2.72,mahoganii,C,Semi,Door/window
200,2.9,mango,A,Indoor,Door/window
464,8.74,burutha,B,Semi,Structural Framing
677,6.74,kempas,C,Semi,Roofing Components
1283,28.13,kubuk,C,Outdoor,Structural Framing
295,9.82,lunumidella,C,Outdoor,Roofing Components
692,2.32,kempas,C,Semi,Roofing Components
660,29.9,kempas,C,Semi,Roofing Components
507,21.63,pinewood,B,Indoor,Roofing Components
396,25.92,burutha,C,Semi,Structural Framing
747,6.51,kempas,C,Semi,Roofing Components
169,4.26,ginisapu,C,Indoor,Door/window
525,13.38,burutha,B,Semi,Structural Framing
868,21.31,microo,B,Indoor,Door/window
750,28.81,mahoganii,A,Semi,Door/window
450,23.27,ginisapu,A,Indoor,Roofing Components
750,28.69,mahoganii,A,Semi,Door/window
450,13.14,ginisapu,A,Indoor,Roofing Components
750,5.81,mahoganii,A,Semi,Door/window
156,16.33,mango,B,Indoor,Door/window
500,16.27,lunumidella,A,Indoor,Roofing Components
600,15.32,burutha,A,Semi,Structural Framing
992,19.54,teak,B,Semi,Structural Framing
287,28.19,ginisapu,C,Indoor,Roofing Components
433,23.16,lunumidella,B,Outdoor,Roofing Components
294,18.6,ginisapu,C,Indoor,Roofing Components
334,10.17,mango,B,Indoor,Structural Framing
315,18.92,burutha,C,Semi,Door/window
553,24.28,jak,C,Semi,Door/window
306,5.13,burutha,C,Semi,Door/window
1200,16.51,teak,A,Semi,Structural Framing
884,4.88,thulan,C,Indoor,Door/window
450,25.29,ginisapu,A,Indoor,Roofing Components
351,7.82,burutha,C,Semi,Structural Framing
766,27.89,teak,C,Semi,Structural Framing
3000,17.45,thulan,A,Indoor,Structural Framing
664,1.44,teak,C,Semi,Structural Framing
1200,8.26,kempas,A,Semi,Roofing Components
369,25.53,burutha,C,Semi,Structural Framing
1047,6.97,thulan,C,Indoor,Door/window
1695,23.42,microo,B,Indoor,Structural Framing
383,17.39,ginisapu,B,Indoor,Roofing Components
600,28.72,burutha,A,Semi,Structural Framing
188,14.41,ginisapu,B,Indoor,Door/window
633,8.37,mahoganii,C,Semi,Structural Framing
500,13.98,mahoganii,C,Semi,Door/window
1000,9.07,microo,A,Indoor,Door/window
641,13.59,jak,C,Semi,Structural Framing
2397,18.81,thulan,B,Indoor,Structural Framing
272,28.48,ginisapu,C,Indoor,Roofing Components
400,13.0,burutha,B,Semi,Door/window
942,9.12,thulan,C,Indoor,Door/window
889,23.19,microo,B,Indoor,Door/window
850,24.35,jak,A,Semi,Door/window
500,2.58,lunumidella,A,Semi,Roofing Components
250,11.63,ginisapu,A,Indoor,Door/window
500,23.73,burutha,A,Semi,Door/window
801,16.36,microo,B,Indoor,Door/window
600,16.47,pinewood,A,Indoor,Roofing Components
725,18.19,teak,C,Semi,Door/window
1200,7.61,kempas,A,Semi,Roofing Components
600,14.16,burutha,A,Semi,Structural Framing
333,5.12,burutha,C,Semi,Structural Framing
199,29.44,ginisapu,B,Indoor,Door/window
1342,13.41,thulan,B,Indoor,Door/window
706,8.56,teak,C,Semi,Door/window
802,12.04,kempas,C,Semi,Roofing Components
2000,10.3,microo,A,Indoor,Structural Framing
2288,3.33,thulan,B,Indoor,Structural Framing
1000,29.09,microo,A,Indoor,Door/window
1236,16.18,kubuk,C,Outdoor,Structural Framing
708,3.56,teak,C,Semi,Door/window
600,22.34,pinewood,A,Indoor,Roofing Components
341,21.97,lunumidella,C,Indoor,Roofing Components
202,24.72,ginisapu,B,Indoor,Door/window
537,2.54,pinewood,B,Indoor,Roofing Components
526,19.31,jak,C,Semi,Door/window
295,7.26,lunumidella,C,Semi,Roofing Components
158,21.21,mango,B,Indoor,Door/window
200,22.7,mango,A,Indoor,Door/window
168,5.4,mango,B,Indoor,Door/window
778,22.5,teak,C,Semi,Structural Framing
1200,8.82,teak,A,Semi,Structural Framing
135,26.83,mango,C,Indoor,Door/window
1500,18.55,kempas,A,Semi,Door/window
282,27.02,burutha,C,Semi,Door/window
1616,22.06,kempas,C,Semi,Structural Framing
974,24.75,kempas,C,Semi,Door/window
1504,7.25,kubuk,B,Outdoor,Structural Framing
309,15.44,ginisapu,C,Indoor,Roofing Components
851,3.21,kempas,C,Semi,Door/window
368,26.03,burutha,C,Semi,Structural Framing
1050,19.53,mahoganii,A,Semi,Structural Framing
799,2.97,kempas,C,Semi,Roofing Components
850,1.73,thulan,C,Indoor,Door/window
354,8.63,pinewood,C,Indoor,Roofing Components
450,20.06,ginisapu,A,Indoor,Roofing Components
850,14.41,jak,A,Semi,Door/window
874,14.11,mahoganii,B,Semi,Structural Framing
657,10.36,microo,C,Indoor,Door/window
250,18.15,ginisapu,A,Indoor,Door/window
500,19.53,lunumidella,A,Semi,Roofing Components
956,22.5,teak,B,Semi,Door/window
2800,4.06,kempas,A,Semi,Structural Framing
2800,20.08,kempas,A,Semi,Structural Framing
1200,24.45,teak,A,Semi,Structural Framing
263,29.4,ginisapu,C,Indoor,Roofing Components
322,17.42,burutha,C,Semi,Door/window
1576,10.41,microo,B,Indoor,Structural Framing
2000,13.71,kubuk,A,Outdoor,Structural Framing
2000,3.85,kubuk,A,Outdoor,Structural Framing
600,7.26,burutha,A,Semi,Structural Framing
2000,1.92,kubuk,A,Outdoor,Structural Framing
355,4.01,ginisapu,B,Indoor,Roofing Components
361,17.89,pinewood,C,Indoor,Roofing Components
2040,9.73,thulan,C,Indoor,Structural Framing
248,22.24,ginisapu,C,Indoor,Roofing Components
500,13.77,lunumidella,A,Semi,Roofing Components
191,29.36,ginisapu,B,Indoor,Door/window
1276,11.34,kempas,B,Semi,Door/window
912,7.04,teak,B,Semi,Door/window
837,18.26,thulan,C,Indoor,Door/window
523,28.26,mahoganii,C,Semi,Door/window
259,11.91,ginisapu,C,Indoor,Roofing Components
480,29.31,burutha,B,Semi,Structural Framing
1200,6.64,kempas,A,Semi,Roofing Components
2000,23.19,microo,A,Indoor,Structural Framing
400,18.82,lunumidella,B,Outdoor,Roofing Components
2341,26.71,kempas,B,Semi,Structural Framing
340,8.37,pinewood,C,Indoor,Roofing Components
397,11.73,burutha,C,Semi,Structural Framing
294,17.24,ginisapu,C,Indoor,Roofing Components
345,4.1,ginisapu,B,Indoor,Roofing Components
339,23.63,ginisapu,B,Indoor,Roofing Components
1500,11.07,kempas,A,Semi,Door/window
790,15.13,microo,B,Indoor,Door/window
1000,25.34,microo,A,Indoor,Door/window
834,24.56,mahoganii,B,Semi,Structural Framing
2000,9.92,kubuk,A,Outdoor,Structural Framing
1500,25.36,kempas,A,Semi,Door/window
111,28.35,mango,C,Indoor,Door/window
1500,22.27,thulan,A,Indoor,Door/window
729,2.95,teak,C,Semi,Structural Framing
667,9.44,teak,C,Semi,Door/window
351,8.12,burutha,C,Semi,Structural Framing
145,16.83,ginisapu,C,Indoor,Door/window
500,14.39,burutha,A,Semi,Door/window
2363,10.45,kempas,B,Semi,Structural Framing
377,19.42,pinewood,C,Indoor,Roofing Components
400,19.92,mango,A,Indoor,Structural Framing
339,16.1,pinewood,C,Indoor,Roofing Components
250,21.08,ginisapu,A,Indoor,Door/window
1000,8.89,microo,A,Indoor,Door/window
805,29.17,microo,B,Indoor,Door/window
215,19.4,ginisapu,B,Indoor,Door/window
202,25.05,ginisapu,B,Indoor,Door/window
387,26.15,ginisapu,B,Indoor,Roofing Components
648,8.01,mahoganii,C,Semi,Structural Framing
902,15.84,kempas,B,Semi,Roofing Components
500,1.77,lunumidella,A,Outdoor,Roofing Components
1248,18.6,kempas,B,Semi,Door/window
326,18.55,burutha,C,Semi,Door/window
513,2.41,burutha,B,Semi,Structural Framing
933,25.05,teak,B,Semi,Structural Framing
869,2.46,thulan,C,Indoor,Door/window
307,28.89,lunumidella,C,Indoor,Roofing Components
500,15.1,burutha,A,Semi,Door/window
588,27.79,mahoganii,C,Semi,Structural Framing
600,9.09,pinewood,A,Indoor,Roofing Components
1211,11.53,thulan,B,Indoor,Door/window
480,22.22,mahoganii,C,Semi,Door/window
343,16.19,ginisapu,B,Indoor,Roofing Components
450,28.53,ginisapu,A,Indoor,Roofing Components
393,15.56,lunumidella,B,Indoor,Roofing Components
500,23.83,burutha,A,Semi,Door/window
383,13.85,lunumidella,B,Outdoor,Roofing Components
450,14.86,ginisapu,A,Indoor,Roofing Components
1173,9.12,thulan,B,Indoor,Door/window
271,29.22,mango,C,Indoor,Structural Framing
2386,27.42,thulan,B,Indoor,Structural Framing
250,28.9,ginisapu,A,Indoor,Door/window
132,3.42,mango,C,Indoor,Door/window
3000,17.32,thulan,A,Indoor,Structural Framing
1073,16.46,teak,B,Semi,Door/window
482,23.42,mahoganii,C,Semi,Door/window
2690,12.55,thulan,B,Indoor,Structural Framing
411,16.39,pinewood,C,Indoor,Roofing Components
