sheet,item,description,quantity,unit,rate,amount,labor_types,vehicles,nlp_entities,total_fuel_liters,estimated_hours,estimated_cost_lkr,labor_hours,employee_count,excavation_volume,site_area,wall_area,floor_area,concrete_volume,steel_quantity,brick_quantity,total_cement,total_sand,building_complexity,labour_roles,Excavators,Bulldozers,Cranes,Dump Trucks,Loaders,Graders,Compactors,Pavers,Rollers,Trenchers,Skid Steers,Backhoe Loaders,Telehandlers,Forklifts,Scrapers,Concrete Mixers,Pile Drivers,Asphalt Mills,Manlifts,Drilling Rigs,vehicles_needed,masons,welders,laborers,fuel_liters,estimated_hours2,estimated_cost
SYN,Item_10,Synthetic entry,39.75573,units,149426.177384,5940546.76301,Professional,Excavator,,673.194,395.362,229387.482,338.977,51,139.285,785.053,267.389,895.923,52.84,714.605,1550,4424.441,1691.794,3,Mason_skilled;Painter_skilled;Tiler_skilled,1,4,4,2,4,2,5,2,2,5,4,5,4,5,4,5,5,5,3,,84.487,14,5,41,673.194,395.362,229387.482
SYN,Item_11,Synthetic entry,433.034629,bag,110019.047378,47642057.364266,Unskilled,"Crane,Trailer",,628.658,64.179,41341479.145,280.06,43,349.791,1563.58,796.63,573.331,137.894,726.474,1645,4295.437,2755.03,1,Carpenter_skilled,1,2,3,5,4,4,2,2,4,5,3,2,4,4,3,4,3,5,5,,75.393,16,8,33,628.658,64.179,41341479.145
SYN,Item_12,Synthetic entry,275.278803,m3,56576.175715,15574221.929143,Skilled,Trailer,,349.525,141.757,32558500.169,413.739,42,275.279,936.374,641.915,402.132,128.917,1881.389,4865,7537.146,1634.052,4,Labourer_unskilled;Mason_skilled;ConcreteWorker_skilled;Painter_skilled,4,5,1,2,4,5,4,4,4,0,2,1,2,3,5,1,0,3,4,,63.432,12,2,32,349.525,141.757,32558500.169
SYN,Item_13,Synthetic entry,456.270306,m3,154522.107274,70503849.169673,"Skilled,Semi-skilled",Excavator,,367.432,366.875,21100664.482,151.087,7,456.27,554.153,826.034,1246.84,153.922,262.057,4613,7268.975,4103.76,4,Driver_unskilled;Tiler_skilled,2,2,4,1,1,2,0,0,2,2,0,5,3,1,1,0,0,3,2,,37.011,19,4,22,367.432,366.875,21100664.482
SYN,Item_14,Synthetic entry,175.754934,pieces,195574.819989,34373239.579229,Professional,Crane,,60.768,222.177,1613090.672,413.605,83,63.886,1627.713,845.143,550.214,182.405,1866.721,3500,9459.851,2995.734,5,Carpenter_skilled;Driver_unskilled,3,0,0,3,5,1,1,3,4,5,2,1,1,5,4,5,2,0,1,,55.404,19,10,41,60.768,222.177,1613090.672
SYN,Item_15,Synthetic entry,145.663763,kg,130058.782991,18944851.741669,Skilled,Trailer,,636.534,34.959,37346219.413,70.281,90,80.572,1684.191,392.069,1417.803,37.485,1273.849,1418,6124.048,2039.438,1,Labourer_unskilled,1,2,4,2,2,2,3,5,0,4,2,3,4,5,2,5,1,2,0,,53.747,5,5,7,636.534,34.959,37346219.413
SYN,Item_16,Synthetic entry,330.173142,m3,188514.358665,62242378.112538,"Skilled,Professional",Large Truck,,703.712,453.044,39485433.023,258.871,27,330.173,927.767,424.525,340.885,167.183,1972.187,4602,8328.005,2693.444,2,Painter_skilled,4,0,0,5,5,5,0,4,2,3,3,5,4,2,5,0,5,4,4,,71.68,4,1,31,703.712,453.044,39485433.023
SYN,Item_17,Synthetic entry,341.695005,kg,87476.772012,29890376.050024,"Skilled,Professional",Trailer,,492.928,133.094,2328376.524,154.419,21,408.777,797.049,627.911,1411.327,169.601,1287.967,867,2800.388,1819.848,5,Labourer_unskilled;Driver_unskilled,0,5,3,5,4,2,2,1,1,2,1,0,1,1,1,2,2,5,0,,37.771,17,4,41,492.928,133.094,2328376.524
SYN,Item_18,Synthetic entry,76.182056,bag,151001.173746,11503579.874384,"Skilled,Semi-skilled",Trailer,,753.286,333.533,37572900.103,76.786,68,495.944,918.826,216.16,443.223,121.992,637.016,4505,8170.39,2168.167,2,Labourer_unskilled;Mason_skilled;ConcreteWorker_skilled;Carpenter_skilled,1,3,0,4,2,3,4,2,4,3,5,3,0,1,4,2,3,4,3,,62.358,7,6,21,753.286,333.533,37572900.103
SYN,Item_19,Synthetic entry,227.393667,units,173280.74948,39402945.044766,Unskilled,Excavator,,617.1,130.634,9235490.906,279.216,70,367.564,1821.331,154.953,441.285,28.59,360.63,1830,9221.859,859.252,4,Carpenter_skilled;Tiler_skilled,4,1,3,0,4,2,2,0,0,4,0,0,1,5,3,5,4,5,2,,45.038,17,4,18,617.1,130.634,9235490.906
SYN,Item_20,Synthetic entry,424.257041,pieces,132954.017772,56406678.16901,Professional,"Crane,Trailer",,634.425,298.398,30624645.237,116.381,45,330.131,1229.36,341.635,290.542,54.465,1572.505,2975,2733.795,1238.464,2,Driver_unskilled;Painter_skilled;Carpenter_skilled,3,2,2,5,0,3,5,4,3,2,1,2,0,0,2,1,1,4,5,,54.106,12,10,24,634.425,298.398,30624645.237
SYN,Item_21,Synthetic entry,309.996265,m3,13862.289252,4297257.89247,"Skilled,Professional","Crane,Trailer",,647.898,182.062,39334301.108,413.124,24,309.996,598.916,509.637,239.394,78.79,332.855,1361,2831.428,1907.811,2,Driver_unskilled,1,0,0,4,0,5,5,3,4,4,2,4,0,2,2,4,4,5,2,,58.106,9,5,10,647.898,182.062,39334301.108
SYN,Item_22,Synthetic entry,128.916155,pieces,89198.078243,11499073.280477,Professional,Large Truck,,333.438,314.176,25388535.91,218.783,69,146.267,1703.433,582.531,279.092,69.105,1826.595,3646,7642.131,3334.256,4,Mason_skilled;Carpenter_skilled,4,1,5,4,0,2,3,1,2,4,0,2,4,1,0,0,1,5,5,,56.778,16,5,30,333.438,314.176,25388535.91
SYN,Item_23,Synthetic entry,218.487078,kg,112143.960942,24502006.341564,"Unskilled,Semi-skilled",Trailer,,364.843,150.011,28539989.004,472.718,95,343.84,839.3,543.086,1109.129,185.106,427.675,3354,7910.108,1858.239,1,Painter_skilled;Labourer_unskilled;Driver_unskilled,4,2,3,4,2,4,1,2,2,2,2,4,5,5,2,4,5,0,4,,63.417,16,8,46,364.843,150.011,28539989.004
SYN,Item_24,Synthetic entry,250.167298,pieces,117057.81621,29284037.591036,Unskilled,Crane,,881.265,175.996,2949674.947,129.876,10,376.215,1454.897,498.754,414.391,169.997,1853.947,4062,8251.675,1981.057,2,Carpenter_skilled;Driver_unskilled,0,0,5,4,1,0,4,2,2,4,3,1,1,4,5,2,4,4,5,,45.545,8,1,34,881.265,175.996,2949674.947
SYN,Item_25,Synthetic entry,400.563372,m3,109394.204521,43819311.440189,"Skilled,Unskilled",Trailer,,354.827,367.169,4610067.946,366.983,12,400.563,1655.977,460.729,660.326,41.953,1271.912,4928,7155.911,3048.818,3,Labourer_unskilled;Painter_skilled,3,0,0,3,2,5,4,1,4,2,2,2,5,5,1,1,3,3,4,,62.573,17,4,41,354.827,367.169,4610067.946
SYN,Item_26,Synthetic entry,278.918981,bag,46079.82253,12852537.144728,"Unskilled,Semi-skilled",Trailer,,877.846,28.513,41368850.465,486.475,37,325.43,480.823,959.041,650.937,131.36,236.768,2759,5425.984,3526.321,1,Tiler_skilled;Painter_skilled,4,0,4,0,2,0,0,1,2,5,5,5,3,4,2,2,4,5,2,,53.514,3,8,14,877.846,28.513,41368850.465
SYN,Item_27,Synthetic entry,286.8167,kg,42622.925849,12224966.936355,Professional,Large Truck,,798.29,284.332,15705093.774,200.878,93,176.94,1109.646,763.404,735.078,181.325,1577.19,1195,1144.292,2608.41,2,Driver_unskilled;Tiler_skilled;ConcreteWorker_skilled,2,5,5,0,3,5,1,5,1,4,0,0,0,3,3,2,2,0,2,,43.412,10,5,13,798.29,284.332,15705093.774
SYN,Item_28,Synthetic entry,112.616381,kg,85983.811152,9683185.636526,Unskilled,"Loader,Mixer",,368.771,136.552,39165521.15,152.443,45,462.986,656.691,714.187,184.426,31.807,530.396,4710,5137.22,2206.946,1,Carpenter_skilled;Welder_skilled;ConcreteWorker_skilled;Mason_skilled,4,3,2,1,5,4,4,0,4,1,0,3,3,0,5,4,1,5,2,,44.875,14,2,7,368.771,136.552,39165521.15
SYN,Item_29,Synthetic entry,332.104183,pieces,46466.860256,15431838.661894,Unskilled,"Loader,Mixer",,404.363,286.083,4387927.978,473.647,88,59.556,241.268,906.652,1213.11,123.636,1724.58,4381,4893.335,2232.058,5,ConcreteWorker_skilled;Carpenter_skilled;Tiler_skilled,0,2,0,3,0,4,2,2,0,2,2,2,0,0,1,4,2,5,1,,33.122,8,2,39,404.363,286.083,4387927.978
SYN,Item_30,Synthetic entry,295.291093,m3,76530.919016,22598898.724529,Professional,Trailer,,717.329,332.654,29634573.841,202.053,86,295.291,1653.292,127.798,1118.111,77.985,853.264,2317,8180.164,3065.041,3,Labourer_unskilled,2,5,1,3,3,1,4,4,0,2,2,3,2,1,0,2,0,2,4,,43.334,13,8,29,717.329,332.654,29634573.841
SYN,Item_31,Synthetic entry,120.129687,units,68145.833867,8186337.692797,Semi-skilled,Trailer,,780.172,365.272,45433121.497,419.264,100,445.368,318.383,626.11,802.052,89.737,267.254,2358,8259.693,979.739,4,Labourer_unskilled;Carpenter_skilled;Mason_skilled;ConcreteWorker_skilled,4,0,2,2,0,4,2,0,4,3,2,1,0,5,5,5,0,4,2,,44.826,16,10,46,780.172,365.272,45433121.497
SYN,Item_32,Synthetic entry,151.605962,m3,53360.026317,8089698.122134,Professional,Excavator,,391.967,426.548,19554507.791,1.287,60,151.606,1813.47,218.639,548.63,168.884,1506.745,931,6628.742,4068.142,5,Tiler_skilled;Carpenter_skilled;Driver_unskilled,1,2,0,5,2,5,0,4,1,5,1,4,1,0,3,5,2,0,2,,47.709,12,10,39,391.967,426.548,19554507.791
SYN,Item_33,Synthetic entry,247.171303,pieces,109747.958782,27126545.973737,Skilled,"Loader,Mixer",,993.055,29.842,37202281.737,25.901,23,97.546,1595.467,339.238,1397.619,74.519,295.965,2454,7384.793,4105.665,3,Driver_unskilled,0,1,0,3,5,2,3,4,3,1,3,4,4,5,0,3,4,2,5,,51.547,4,1,46,993.055,29.842,37202281.737
SYN,Item_34,Synthetic entry,104.784634,bag,16535.636693,1732680.638833,"Skilled,Unskilled",Excavator,,919.889,377.757,9875997.039,402.473,52,366.176,1133.58,484.287,1401.277,119.001,1784.09,4806,7052.136,4734.008,4,Carpenter_skilled,1,2,0,3,5,2,3,1,0,4,2,1,1,3,2,2,2,5,0,,40.268,6,5,35,919.889,377.757,9875997.039
SYN,Item_35,Synthetic entry,178.429387,bag,179979.016573,32113545.599983,"Skilled,Semi-skilled",Excavator,,929.366,13.528,1577028.186,148.696,78,339.701,847.083,893.793,1366.895,172.639,918.083,3758,6686.934,513.215,5,Driver_unskilled;Carpenter_skilled,5,0,2,3,0,0,0,4,2,2,3,2,2,3,3,1,0,1,3,,45.328,4,2,38,929.366,13.528,1577028.186
SYN,Item_36,Synthetic entry,224.950674,units,175020.76895,39371039.939301,"Unskilled,Semi-skilled",Crane,,619.145,24.877,6472294.794,300.084,57,335.593,493.484,127.809,224.249,143.356,1815.397,3000,7272.864,2696.686,4,Mason_skilled;Labourer_unskilled;Painter_skilled;Welder_skilled,1,4,0,3,1,4,1,2,1,3,2,3,5,2,0,5,0,0,5,,48.326,8,9,33,619.145,24.877,6472294.794
SYN,Item_37,Synthetic entry,179.533506,kg,138841.775281,24926750.695462,Skilled,Large Truck,,428.358,348.192,34172002.214,382.975,100,138.376,1190.678,937.686,998.326,63.427,1580.325,1022,3021.862,566.109,1,Tiler_skilled;Driver_unskilled;Welder_skilled,2,1,2,5,0,3,3,1,5,0,3,2,1,1,5,3,1,4,2,,39.366,3,10,11,428.358,348.192,34172002.214
SYN,Item_38,Synthetic entry,329.094516,kg,70274.036373,23126799.987539,Professional,Large Truck,,605.598,184.574,45337221.207,24.499,94,423.964,759.578,624.955,545.975,98.176,723.949,3032,3002.567,3122.453,1,Driver_unskilled;Carpenter_skilled;Tiler_skilled,4,1,1,4,0,4,2,5,5,0,3,5,0,2,4,4,3,1,2,,45.564,19,9,23,605.598,184.574,45337221.207
SYN,Item_39,Synthetic entry,428.506498,m3,186904.859484,80089946.796671,Semi-skilled,Excavator,,176.416,408.365,49122759.321,38.253,10,428.506,1147.123,451.409,1209.986,38.665,863.451,554,6067.651,4970.252,1,Carpenter_skilled;Mason_skilled;Labourer_unskilled,0,1,1,3,1,4,0,3,4,3,4,1,4,1,4,5,1,3,1,,49.595,8,8,9,176.416,408.365,49122759.321
SYN,Item_40,Synthetic entry,444.975674,m3,197285.927196,87787438.424755,"Skilled,Professional","Loader,Mixer",,584.695,167.077,41677811.093,125.243,48,444.976,1202.097,571.947,1226.942,79.882,1591.787,3959,6410.529,3271.62,3,ConcreteWorker_skilled;Mason_skilled;Painter_skilled,4,1,2,1,4,2,5,3,1,0,5,4,2,4,5,4,3,0,1,,57.215,12,1,27,584.695,167.077,41677811.093
SYN,Item_41,Synthetic entry,235.921122,bag,103055.240285,24312907.916017,Professional,Crane,,107.354,115.134,45685075.386,99.078,10,62.749,1921.346,699.148,347.369,131.987,259.238,1317,4247.527,4052.21,2,Painter_skilled,2,5,4,5,0,1,3,2,5,1,1,4,1,0,5,3,3,4,0,,59.663,7,8,17,107.354,115.134,45685075.386
SYN,Item_42,Synthetic entry,270.380321,kg,36022.668513,9739820.675822,Skilled,Trailer,,883.006,65.206,22495389.979,462.826,82,218.4,1395.186,545.068,566.051,174.748,697.855,873,7404.871,761.263,1,Labourer_unskilled;Driver_unskilled,3,5,3,5,2,5,4,1,1,2,5,3,0,4,3,1,2,3,1,,64.873,10,10,13,883.006,65.206,22495389.979
SYN,Item_43,Synthetic entry,120.500111,kg,125794.02305,15158193.740662,Semi-skilled,Excavator,,534.761,315.38,48792786.319,420.55,56,189.166,1152.528,921.856,185.039,177.018,425.744,3247,7312.591,4681.754,3,Painter_skilled;Tiler_skilled,2,0,4,1,2,1,0,0,5,3,4,2,1,0,1,2,4,0,3,,44.395,3,4,40,534.761,315.38,48792786.319
SYN,Item_44,Synthetic entry,171.634013,units,73632.384825,12637821.694275,"Unskilled,Semi-skilled","Loader,Mixer",,818.48,259.809,36847955.989,31.822,45,181.939,1581.33,360.463,167.242,153.237,1450.305,3650,5296.274,3668.307,5,Tiler_skilled;Mason_skilled;Painter_skilled,3,2,2,2,1,0,4,2,4,4,1,0,1,0,5,2,5,4,3,,51.48,12,9,11,818.48,259.809,36847955.989
SYN,Item_45,Synthetic entry,304.917336,m3,13218.27804,4030482.126464,Skilled,"Loader,Mixer",,642.863,385.108,40454289.762,5.041,90,304.917,1333.587,794.11,880.224,159.418,1324.69,3155,9145.175,4471.844,2,ConcreteWorker_skilled;Welder_skilled;Tiler_skilled;Carpenter_skilled,1,1,0,1,1,3,5,5,5,4,2,2,5,1,4,2,5,2,1,,42.078,3,6,32,642.863,385.108,40454289.762
SYN,Item_46,Synthetic entry,287.517139,units,167625.206071,48195119.673819,"Skilled,Unskilled",Crane,,967.878,416.725,43773260.554,110.801,44,323.009,666.471,333.401,233.283,180.486,212.725,4454,4783.988,1465.203,1,Painter_skilled;Carpenter_skilled,4,3,3,2,3,1,2,5,2,4,2,0,2,4,0,5,5,3,3,,60.445,11,9,35,967.878,416.725,43773260.554
SYN,Item_47,Synthetic entry,383.459113,m3,82926.855095,31799058.298608,Professional,None,,389.314,119.935,189893.307,231.401,26,383.459,469.963,663.515,1039.832,45.653,1087.122,1793,6527.557,1122.133,1,Tiler_skilled;Welder_skilled;Labourer_unskilled;Carpenter_skilled,2,3,2,5,5,2,4,0,2,1,5,4,1,1,4,2,0,4,0,,57.007,2,9,37,389.314,119.935,189893.307
SYN,Item_48,Synthetic entry,209.902737,kg,78160.498631,16406102.587932,Skilled,"Crane,Trailer",,703.527,79.042,2226955.037,247.053,80,451.392,887.709,434.156,1080.746,77.276,1199.962,697,2143.613,4658.26,4,Mason_skilled;Labourer_unskilled;Tiler_skilled,1,0,1,1,5,2,3,2,3,2,5,3,4,1,1,3,1,3,4,,45.233,19,4,5,703.527,79.042,2226955.037
SYN,Item_49,Synthetic entry,308.800761,units,196826.338124,60780122.997535,"Skilled,Unskilled","Crane,Trailer",,927.151,247.82,32436966.909,38.829,35,140.35,1148.315,600.979,1359.15,43.695,762.817,1793,2301.243,3714.915,2,Labourer_unskilled;Welder_skilled,3,0,3,0,3,1,0,1,2,5,3,5,0,5,2,4,1,3,2,,53.478,14,5,33,927.151,247.82,32436966.909
SYN,Item_50,Synthetic entry,131.766114,bag,79775.286154,10511679.449751,Semi-skilled,None,,692.531,139.897,13986400.349,17.882,68,288.66,1044.28,230.529,445.567,196.87,1047.032,980,3828.19,2631.586,4,Labourer_unskilled;ConcreteWorker_skilled;Painter_skilled,4,4,5,2,2,4,0,5,2,2,1,1,2,3,3,1,1,2,2,,49.133,16,3,47,692.531,139.897,13986400.349
SYN,Item_51,Synthetic entry,425.677202,kg,181899.152633,77430322.338986,"Unskilled,Semi-skilled",Crane,,684.012,265.031,24895427.522,309.274,25,438.484,484.119,118.586,1232.876,55.416,1048.601,4392,3183.405,3418.433,5,Carpenter_skilled;Driver_unskilled;Welder_skilled,4,4,3,3,2,1,0,5,2,3,3,0,3,5,4,4,5,3,5,,57.938,12,9,19,684.012,265.031,24895427.522
SYN,Item_52,Synthetic entry,294.844613,m3,156704.002648,46203331.016301,Semi-skilled,"Crane,Trailer",,493.301,452.921,26271388.47,23.016,95,294.845,950.376,769.288,1339.807,128.943,1975.563,627,9408.612,3486.322,1,Tiler_skilled;Welder_skilled;Carpenter_skilled,0,0,0,5,0,1,4,4,0,3,0,0,2,0,3,4,2,4,3,,34.453,8,3,38,493.301,452.921,26271388.47
SYN,Item_53,Synthetic entry,252.346428,pieces,91862.674672,23181217.820005,Unskilled,"Crane,Trailer",,362.259,80.179,20562646.464,369.412,6,147.998,1945.613,969.997,189.026,146.674,1741.542,1462,5640.969,4872.421,5,Tiler_skilled,2,1,2,5,5,5,3,1,5,4,1,1,1,0,1,3,3,3,2,,56.332,7,9,11,362.259,80.179,20562646.464
SYN,Item_54,Synthetic entry,252.828099,bag,109143.997386,27594669.376363,"Skilled,Unskilled",Trailer,,687.804,237.214,47577925.274,387.163,64,385.623,580.88,808.775,1030.43,35.366,1273.538,4117,4910.098,825.502,3,Welder_skilled;Mason_skilled,5,2,5,5,2,0,1,2,1,1,1,5,4,5,0,2,4,4,3,,65.646,14,7,34,687.804,237.214,47577925.274
SYN,Item_55,Synthetic entry,58.07035,kg,97112.781305,5639373.199855,"Skilled,Professional",Crane,,655.745,407.462,41987441.75,51.076,44,116.743,1801.569,820.047,1410.243,37.859,263.972,1653,7511.795,4679.841,3,Carpenter_skilled;Tiler_skilled;Mason_skilled;Driver_unskilled,3,2,0,4,2,2,4,1,5,0,0,5,0,0,0,5,5,1,1,,45.245,2,10,15,655.745,407.462,41987441.75
SYN,Item_56,Synthetic entry,19.626254,kg,155638.466442,3054600.074561,Professional,"Loader,Mixer",,67.172,277.458,6920754.653,211.11,51,469.449,1524.197,413.036,869.335,194.383,956.564,1754,7855.943,1328.298,2,Tiler_skilled,1,3,4,3,2,1,2,2,4,4,4,3,5,3,0,2,2,4,1,,48.464,11,10,37,67.172,277.458,6920754.653
SYN,Item_57,Synthetic entry,348.595898,bag,46703.40751,16280616.280608,"Unskilled,Semi-skilled",Excavator,,39.294,150.187,39337109.529,319.448,18,490.662,1970.395,119.337,1154.85,175.117,687.39,1883,9368.784,2567.291,4,Labourer_unskilled;Tiler_skilled,5,1,5,5,5,4,2,1,5,3,3,5,3,4,1,4,4,2,4,,62.757,18,1,7,39.294,150.187,39337109.529
SYN,Item_58,Synthetic entry,107.290201,m3,27136.441154,2911474.225837,"Skilled,Unskilled",Excavator,,661.454,211.855,9483433.732,420.275,25,107.29,1024.172,322.79,369.54,67.879,1811.451,1519,9984.883,4740.603,1,Painter_skilled,4,0,0,0,4,3,5,0,4,1,5,0,0,4,4,0,4,2,3,,43.199,14,7,15,661.454,211.855,9483433.732
SYN,Item_59,Synthetic entry,423.777139,pieces,73014.950145,30942066.676676,"Skilled,Unskilled",Crane,,387.603,373.595,15395219.076,331.58,52,488.407,1586.237,428.165,1474.404,163.046,730.316,2981,9578.181,4401.937,5,ConcreteWorker_skilled;Driver_unskilled;Mason_skilled,0,3,4,5,1,1,1,5,5,5,0,2,0,5,0,1,4,4,1,,50.098,20,5,18,387.603,373.595,15395219.076
SYN,Item_60,Synthetic entry,201.278755,units,67312.049738,13548485.567763,Semi-skilled,Large Truck,,628.19,350.838,37339879.439,84.173,32,258.176,621.24,774.834,765.9,160.142,863.524,3045,3465.729,565.037,2,ConcreteWorker_skilled,3,0,0,5,5,0,1,5,1,4,0,3,3,2,1,0,4,1,4,,51.053,3,8,20,628.19,350.838,37339879.439
SYN,Item_61,Synthetic entry,362.78671,kg,20711.776766,7513957.351192,"Skilled,Unskilled","Crane,Trailer",,416.127,28.336,11052488.703,120.538,48,371.5,313.922,995.33,310.268,36.956,1391.961,2427,8868.814,3691.263,5,Welder_skilled;Driver_unskilled;Labourer_unskilled;ConcreteWorker_skilled,4,4,1,3,1,3,5,0,5,5,5,3,3,2,1,5,2,1,3,,60.23,2,4,40,416.127,28.336,11052488.703
SYN,Item_62,Synthetic entry,131.663851,units,158641.907267,20887404.440758,"Unskilled,Semi-skilled","Crane,Trailer",,221.793,218.656,12136263.633,368.878,46,354.799,872.031,944.278,1431.6,190.707,1424.324,2240,6972.87,2784.361,3,Carpenter_skilled;Mason_skilled,5,3,1,0,4,3,3,1,0,5,0,1,0,0,4,0,0,4,3,,33.253,9,6,46,221.793,218.656,12136263.633
SYN,Item_63,Synthetic entry,264.812144,bag,191522.196875,50717403.578059,Professional,Trailer,,177.616,313.357,8768838.095,215.063,13,499.692,1298.9,246.118,1084.317,125.488,223.765,1683,8624.072,1443.348,5,Welder_skilled;Carpenter_skilled;Mason_skilled;Driver_unskilled,3,4,3,5,0,3,2,0,2,2,4,3,0,3,2,0,4,4,4,,56.385,10,1,27,177.616,313.357,8768838.095
SYN,Item_64,Synthetic entry,363.6296,bag,92590.23974,33668551.84056,Professional,Crane,,116.858,495.773,8560518.901,487.2,99,368.922,1520.102,287.468,1459.774,170.405,1493.887,3127,6699.356,612.622,3,Tiler_skilled;ConcreteWorker_skilled,5,0,5,1,1,3,4,3,4,2,0,4,4,0,4,1,0,2,3,,45.775,9,2,24,116.858,495.773,8560518.901
SYN,Item_65,Synthetic entry,324.13462,bag,40221.418286,13037154.131994,Unskilled,"Crane,Trailer",,270.044,43.43,40402940.13,340.754,71,145.135,1312.556,544.206,458.915,75.707,869.637,3235,5827.136,2606.745,3,Welder_skilled;Tiler_skilled;ConcreteWorker_skilled;Painter_skilled,3,2,3,5,0,5,4,3,3,2,0,0,4,1,3,3,4,4,5,,45.678,18,5,34,270.044,43.43,40402940.13
