boq_text,machinery,vehicles,skilled,unskilled,labour_roles
"Item_72 Synthetic entry qty:275.630708 units vehicles:Crane,Trailer labor:Unskilled",Crane;Trailer,Crane;Trailer,18,20,Driver_unskilled;Painter_skilled;Labourer_unskilled
Item_73 Synthetic entry qty:14.704372 pieces vehicles:Large Truck labor:Skilled,Large Truck,Large Truck,4,35,Tiler_skilled
"Item_74 Synthetic entry qty:484.174178 units vehicles:Excavator labor:Unskilled,Semi-skilled",Excavator,Excavator,21,33,ConcreteWorker_skilled
"Item_75 Synthetic entry qty:306.242813 pieces vehicles:Crane labor:Skilled,Semi-skilled",Crane,Crane,10,32,Painter_skilled
Item_76 Synthetic entry qty:84.959241 units vehicles:Crane labor:Unskilled,Crane,Crane,12,36,Welder_skilled;Carpenter_skilled;Painter_skilled;Driver_unskilled
"Item_77 Synthetic entry qty:72.205364 pieces vehicles:Crane,Trailer labor:Unskilled",Crane;Trailer,Crane;Trailer,5,49,ConcreteWorker_skilled;Tiler_skilled;Mason_skilled;Welder_skilled
"Item_78 Synthetic entry qty:84.343351 bag vehicles:None labor:Unskilled,Semi-skilled",,,21,40,Painter_skilled
Item_79 Synthetic entry qty:19.986686 m3 vehicles:None labor:Semi-skilled,,,16,25,Painter_skilled
"Item_80 Synthetic entry qty:471.583767 kg vehicles:Crane,Trailer labor:Skilled,Unskilled",Crane;Trailer,Crane;Trailer,22,40,Driver_unskilled;Labourer_unskilled;Carpenter_skilled
"Item_81 Synthetic entry qty:303.49313 m3 vehicles:None labor:Skilled,Semi-skilled",,,11,25,Welder_skilled;Labourer_unskilled
"Item_82 Synthetic entry qty:459.366791 m3 vehicles:Loader,Mixer labor:Skilled,Unskilled",Loader;Mixer,Loader;Mixer,24,19,ConcreteWorker_skilled;Carpenter_skilled;Painter_skilled
"Item_83 Synthetic entry qty:66.190425 m3 vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,13,8,Mason_skilled;Labourer_unskilled;Painter_skilled;Carpenter_skilled
Item_84 Synthetic entry qty:392.942469 units vehicles:Trailer labor:Unskilled,Trailer,Trailer,13,17,Labourer_unskilled;Painter_skilled;Carpenter_skilled
Item_85 Synthetic entry qty:217.483833 pieces vehicles:Crane labor:Unskilled,Crane,Crane,9,16,Painter_skilled
"Item_86 Synthetic entry qty:433.732361 bag vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,25,32,Mason_skilled;Tiler_skilled
"Item_87 Synthetic entry qty:327.827985 kg vehicles:None labor:Skilled,Unskilled",,,20,17,Labourer_unskilled
"Item_88 Synthetic entry qty:27.870439 m3 vehicles:Large Truck labor:Skilled,Unskilled",Large Truck,Large Truck,11,35,ConcreteWorker_skilled
"Item_89 Synthetic entry qty:324.502296 kg vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,12,39,ConcreteWorker_skilled;Driver_unskilled;Welder_skilled
"Item_90 Synthetic entry qty:58.177058 m3 vehicles:None labor:Skilled,Professional",,,14,16,Welder_skilled;Tiler_skilled;Mason_skilled;Painter_skilled
"Item_91 Synthetic entry qty:221.905107 units vehicles:Crane,Trailer labor:Skilled,Professional",Crane;Trailer,Crane;Trailer,14,12,Welder_skilled;Driver_unskilled;Tiler_skilled
Item_92 Synthetic entry qty:25.101416 units vehicles:None labor:Professional,,,12,5,ConcreteWorker_skilled;Welder_skilled
Item_93 Synthetic entry qty:387.452108 units vehicles:Excavator labor:Semi-skilled,Excavator,Excavator,25,20,Welder_skilled;Mason_skilled;Driver_unskilled
"Item_94 Synthetic entry qty:381.624321 units vehicles:Large Truck labor:Skilled,Semi-skilled",Large Truck,Large Truck,15,13,ConcreteWorker_skilled;Painter_skilled
Item_95 Synthetic entry qty:369.37766 units vehicles:Crane labor:Professional,Crane,Crane,13,25,Mason_skilled
"Item_96 Synthetic entry qty:238.930624 bag vehicles:Crane,Trailer labor:Unskilled",Crane;Trailer,Crane;Trailer,7,14,Painter_skilled
Item_97 Synthetic entry qty:162.759702 bag vehicles:Large Truck labor:Semi-skilled,Large Truck,Large Truck,13,22,ConcreteWorker_skilled
Item_98 Synthetic entry qty:154.015252 m3 vehicles:Trailer labor:Skilled,Trailer,Trailer,16,42,Mason_skilled;Driver_unskilled;ConcreteWorker_skilled;Carpenter_skilled
"Item_99 Synthetic entry qty:161.234748 units vehicles:None labor:Skilled,Professional",,,23,33,Tiler_skilled;Carpenter_skilled;Welder_skilled
Item_100 Synthetic entry qty:240.033741 bag vehicles:Large Truck labor:Semi-skilled,Large Truck,Large Truck,15,9,Carpenter_skilled;Tiler_skilled;Mason_skilled
"Item_101 Synthetic entry qty:136.02159 units vehicles:None labor:Skilled,Professional",,,14,6,Carpenter_skilled;Labourer_unskilled
Item_102 Synthetic entry qty:387.185591 units vehicles:None labor:Semi-skilled,,,14,34,Mason_skilled;Painter_skilled
"Item_103 Synthetic entry qty:437.167159 kg vehicles:Crane,Trailer labor:Professional",Crane;Trailer,Crane;Trailer,11,15,Tiler_skilled
"Item_104 Synthetic entry qty:466.863369 units vehicles:Trailer labor:Skilled,Professional",Trailer,Trailer,25,16,Carpenter_skilled;Mason_skilled
"Item_105 Synthetic entry qty:262.10943 pieces vehicles:None labor:Skilled,Unskilled",,,21,18,Painter_skilled;Driver_unskilled;Carpenter_skilled;Mason_skilled
"Item_106 Synthetic entry qty:446.576397 pieces vehicles:Loader,Mixer labor:Unskilled,Semi-skilled",Loader;Mixer,Loader;Mixer,5,8,Painter_skilled;ConcreteWorker_skilled;Driver_unskilled
"Item_107 Synthetic entry qty:382.558696 m3 vehicles:Crane,Trailer labor:Unskilled",Crane;Trailer,Crane;Trailer,23,29,Mason_skilled;Carpenter_skilled
"Item_108 Synthetic entry qty:417.163829 kg vehicles:Crane,Trailer labor:Unskilled,Semi-skilled",Crane;Trailer,Crane;Trailer,15,32,Tiler_skilled;Welder_skilled;Labourer_unskilled
"Item_109 Synthetic entry qty:401.027682 m3 vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,18,12,Labourer_unskilled;Welder_skilled
Item_110 Synthetic entry qty:321.921015 pieces vehicles:None labor:Unskilled,,,14,12,Tiler_skilled
"Item_111 Synthetic entry qty:360.231994 bag vehicles:None labor:Skilled,Semi-skilled",,,19,17,Welder_skilled;Driver_unskilled;Painter_skilled;Tiler_skilled
"Item_112 Synthetic entry qty:191.011939 pieces vehicles:Crane labor:Skilled,Semi-skilled",Crane,Crane,19,19,ConcreteWorker_skilled
Item_113 Synthetic entry qty:429.304527 units vehicles:Crane labor:Professional,Crane,Crane,27,10,Tiler_skilled;Welder_skilled
"Item_114 Synthetic entry qty:250.130018 pieces vehicles:Large Truck labor:Unskilled,Semi-skilled",Large Truck,Large Truck,8,49,Tiler_skilled;Painter_skilled;Labourer_unskilled
"Item_115 Synthetic entry qty:223.873496 pieces vehicles:Crane,Trailer labor:Skilled,Professional",Crane;Trailer,Crane;Trailer,21,17,Painter_skilled;Welder_skilled
Item_116 Synthetic entry qty:170.986865 kg vehicles:Crane labor:Unskilled,Crane,Crane,6,37,Labourer_unskilled;Painter_skilled;Mason_skilled;Welder_skilled
"Item_117 Synthetic entry qty:320.596221 m3 vehicles:Large Truck labor:Unskilled,Semi-skilled",Large Truck,Large Truck,19,27,Labourer_unskilled
Item_118 Synthetic entry qty:20.931395 units vehicles:None labor:Semi-skilled,,,10,17,Mason_skilled;Tiler_skilled
"Item_119 Synthetic entry qty:199.003386 pieces vehicles:Loader,Mixer labor:Professional",Loader;Mixer,Loader;Mixer,11,35,Painter_skilled;Carpenter_skilled;Mason_skilled
"Item_120 Synthetic entry qty:281.573992 kg vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,28,17,Painter_skilled;ConcreteWorker_skilled
"Item_121 Synthetic entry qty:89.79935 pieces vehicles:Crane,Trailer labor:Semi-skilled",Crane;Trailer,Crane;Trailer,19,18,Carpenter_skilled;Labourer_unskilled;Welder_skilled
Item_122 Synthetic entry qty:392.184974 m3 vehicles:None labor:Semi-skilled,,,11,37,Painter_skilled;Labourer_unskilled;Welder_skilled;Mason_skilled
"Item_123 Synthetic entry qty:263.616057 pieces vehicles:Large Truck labor:Skilled,Semi-skilled",Large Truck,Large Truck,18,10,Painter_skilled;ConcreteWorker_skilled;Tiler_skilled;Labourer_unskilled
"Item_124 Synthetic entry qty:337.912164 pieces vehicles:Crane,Trailer labor:Semi-skilled",Crane;Trailer,Crane;Trailer,21,37,ConcreteWorker_skilled
Item_125 Synthetic entry qty:187.010706 kg vehicles:Crane labor:Professional,Crane,Crane,17,23,Welder_skilled;Carpenter_skilled;ConcreteWorker_skilled
Item_126 Synthetic entry qty:264.150752 bag vehicles:Large Truck labor:Unskilled,Large Truck,Large Truck,15,30,Painter_skilled;Labourer_unskilled;Tiler_skilled;Mason_skilled
Item_127 Synthetic entry qty:328.244746 kg vehicles:Large Truck labor:Skilled,Large Truck,Large Truck,16,38,Mason_skilled;Carpenter_skilled;ConcreteWorker_skilled;Tiler_skilled
"Item_128 Synthetic entry qty:340.218368 units vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,19,35,Mason_skilled;Labourer_unskilled;Welder_skilled;Painter_skilled
Item_129 Synthetic entry qty:226.9711 pieces vehicles:Excavator labor:Semi-skilled,Excavator,Excavator,19,49,Painter_skilled;ConcreteWorker_skilled;Carpenter_skilled
"Item_130 Synthetic entry qty:474.29008 m3 vehicles:Trailer labor:Unskilled,Semi-skilled",Trailer,Trailer,19,50,Welder_skilled;Labourer_unskilled
"Item_131 Synthetic entry qty:283.130807 bag vehicles:Loader,Mixer labor:Skilled,Unskilled",Loader;Mixer,Loader;Mixer,14,16,Mason_skilled;Labourer_unskilled
"Item_132 Synthetic entry qty:219.586206 bag vehicles:Crane,Trailer labor:Unskilled,Semi-skilled",Crane;Trailer,Crane;Trailer,16,30,Driver_unskilled;Mason_skilled;Welder_skilled
"Item_133 Synthetic entry qty:429.793848 kg vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,23,15,Driver_unskilled;Painter_skilled;Labourer_unskilled
"Item_134 Synthetic entry qty:215.726323 bag vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,12,9,Tiler_skilled
"Item_135 Synthetic entry qty:399.291157 pieces vehicles:Large Truck labor:Skilled,Professional",Large Truck,Large Truck,21,42,Mason_skilled;ConcreteWorker_skilled
Item_136 Synthetic entry qty:455.822425 bag vehicles:None labor:Semi-skilled,,,22,40,Mason_skilled;Driver_unskilled
Item_137 Synthetic entry qty:245.460783 units vehicles:Trailer labor:Unskilled,Trailer,Trailer,8,22,Painter_skilled
"Item_138 Synthetic entry qty:484.347202 pieces vehicles:Crane,Trailer labor:Unskilled,Semi-skilled",Crane;Trailer,Crane;Trailer,26,9,Carpenter_skilled
Item_139 Synthetic entry qty:441.425939 units vehicles:Trailer labor:Professional,Trailer,Trailer,21,44,ConcreteWorker_skilled;Labourer_unskilled;Tiler_skilled;Mason_skilled
Item_140 Synthetic entry qty:258.464277 units vehicles:Excavator labor:Unskilled,Excavator,Excavator,13,22,Carpenter_skilled
"Item_141 Synthetic entry qty:16.456213 pieces vehicles:Loader,Mixer labor:Unskilled,Semi-skilled",Loader;Mixer,Loader;Mixer,20,10,Labourer_unskilled;Tiler_skilled
"Item_142 Synthetic entry qty:68.656934 pieces vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,24,19,Labourer_unskilled;Tiler_skilled
"Item_143 Synthetic entry qty:329.853399 kg vehicles:Loader,Mixer labor:Semi-skilled",Loader;Mixer,Loader;Mixer,24,14,Labourer_unskilled;Carpenter_skilled;Mason_skilled;Driver_unskilled
"Item_144 Synthetic entry qty:320.442329 bag vehicles:Crane,Trailer labor:Professional",Crane;Trailer,Crane;Trailer,22,6,Carpenter_skilled;Labourer_unskilled
"Item_145 Synthetic entry qty:87.470391 m3 vehicles:Excavator labor:Skilled,Semi-skilled",Excavator,Excavator,26,9,Painter_skilled;Carpenter_skilled;Labourer_unskilled
"Item_146 Synthetic entry qty:134.006979 kg vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,15,10,Driver_unskilled;Welder_skilled;Carpenter_skilled;Tiler_skilled
"Item_147 Synthetic entry qty:350.661975 kg vehicles:Loader,Mixer labor:Skilled,Unskilled",Loader;Mixer,Loader;Mixer,12,38,ConcreteWorker_skilled
"Item_148 Synthetic entry qty:349.92965 units vehicles:None labor:Skilled,Semi-skilled",,,23,32,Mason_skilled;ConcreteWorker_skilled;Labourer_unskilled;Carpenter_skilled
"Item_149 Synthetic entry qty:301.854584 kg vehicles:Crane,Trailer labor:Semi-skilled",Crane;Trailer,Crane;Trailer,22,16,Welder_skilled
Item_150 Synthetic entry qty:217.626182 units vehicles:Crane labor:Unskilled,Crane,Crane,10,19,Tiler_skilled;Driver_unskilled
Item_151 Synthetic entry qty:168.293963 bag vehicles:Excavator labor:Professional,Excavator,Excavator,25,26,Mason_skilled;Tiler_skilled;Carpenter_skilled
Item_152 Synthetic entry qty:462.651172 m3 vehicles:Crane labor:Skilled,Crane,Crane,28,48,Welder_skilled;Painter_skilled
"Item_153 Synthetic entry qty:221.99415 m3 vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,22,29,ConcreteWorker_skilled
"Item_154 Synthetic entry qty:126.027786 pieces vehicles:Large Truck labor:Skilled,Professional",Large Truck,Large Truck,21,43,Labourer_unskilled;Driver_unskilled;ConcreteWorker_skilled
"Item_155 Synthetic entry qty:263.406149 pieces vehicles:Crane,Trailer labor:Skilled,Unskilled",Crane;Trailer,Crane;Trailer,25,32,Welder_skilled
"Item_156 Synthetic entry qty:337.871018 bag vehicles:Loader,Mixer labor:Skilled,Unskilled",Loader;Mixer,Loader;Mixer,14,12,ConcreteWorker_skilled;Driver_unskilled
"Item_157 Synthetic entry qty:431.077921 bag vehicles:Excavator labor:Unskilled,Semi-skilled",Excavator,Excavator,9,26,Driver_unskilled;Painter_skilled;Carpenter_skilled
Item_158 Synthetic entry qty:173.403834 units vehicles:Crane labor:Professional,Crane,Crane,14,22,Carpenter_skilled;Mason_skilled
"Item_159 Synthetic entry qty:39.103629 kg vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,22,45,Tiler_skilled;Labourer_unskilled
"Item_160 Synthetic entry qty:429.959585 kg vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,21,47,Painter_skilled;Driver_unskilled;Welder_skilled;Carpenter_skilled
"Item_161 Synthetic entry qty:285.522563 kg vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,19,38,Mason_skilled;Welder_skilled;Tiler_skilled;Painter_skilled
Item_162 Synthetic entry qty:414.518191 pieces vehicles:Crane labor:Professional,Crane,Crane,10,40,Carpenter_skilled
"Item_163 Synthetic entry qty:129.217338 units vehicles:Large Truck labor:Unskilled,Semi-skilled",Large Truck,Large Truck,17,24,Mason_skilled;Driver_unskilled;Carpenter_skilled;Labourer_unskilled
"Item_164 Synthetic entry qty:110.167955 bag vehicles:Crane,Trailer labor:Semi-skilled",Crane;Trailer,Crane;Trailer,5,12,Mason_skilled;Welder_skilled
"Item_165 Synthetic entry qty:107.865571 units vehicles:Crane labor:Unskilled,Semi-skilled",Crane,Crane,13,11,Welder_skilled;Painter_skilled;Labourer_unskilled;Tiler_skilled
"Item_166 Synthetic entry qty:41.993498 pieces vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,16,36,Driver_unskilled;Mason_skilled
Item_167 Synthetic entry qty:286.515955 bag vehicles:Large Truck labor:Unskilled,Large Truck,Large Truck,19,45,ConcreteWorker_skilled;Mason_skilled
