terrain,distance_km,material_tons,wall_length_m,wall_height_m,fuel_liters,labor_hours,total_cost,vehicle_count
1,39.64,6.44,45.59,4.8,41.22,497.0,132397,1
0,26.43,39.3,9.46,4.69,88.65,484.6,293886,2
1,39.69,3.86,2.23,5.61,28.28,64.55,33277,1
0,12.25,38.84,44.23,3.76,81.37,720.92,338903,2
1,47.33,7.37,44.59,2.53,44.22,300.51,97116,1
0,21.34,7.89,47.73,4.75,24.56,534.51,146860,1
1,36.4,4.02,3.52,2.16,33.06,56.25,31459,1
0,41.13,3.62,44.67,1.25,28.64,155.06,50072,1
0,37.65,14.73,34.47,5.6,48.4,536.11,181336,1
0,24.36,35.4,12.91,0.17,83.45,362.75,250533,2
1,15.52,43.93,27.66,1.96,99.94,546.59,329614,2
1,8.66,44.89,47.28,4.83,98.51,909.04,407130,2
0,15.26,21.05,2.31,0.79,50.53,214.41,148206,1
0,21.59,27.58,37.04,0.85,63.44,342.11,206408,1
0,22.8,18.53,47.45,0.35,46.71,221.34,137663,1
1,22.62,18.64,47.62,0.55,53.97,240.99,141612,1
0,39.99,22.36,19.94,4.61,63.34,409.02,194068,1
1,46.92,7.21,23.12,3.82,41.54,249.09,85969,1
1,31.32,0.49,14.93,4.61,19.91,138.01,30311,1
1,35.61,23.62,33.91,4.56,70.42,553.88,229262,1
0,6.92,44.2,2.03,1.54,89.26,447.17,310839,2
1,6.0,12.71,14.17,4.53,35.68,251.83,114052,1
0,39.82,15.35,16.99,3.18,50.64,272.79,131475,1
0,21.33,14.56,25.99,3.44,38.07,320.0,137220,1
1,37.33,45.21,13.93,2.65,113.09,524.8,331236,2
0,19.69,29.59,6.98,4.01,67.65,356.37,219649,1
0,24.36,34.77,15.91,3.91,83.29,473.68,269349,2
1,3.57,31.09,1.28,2.83,69.18,317.69,219627,1
0,34.66,4.16,47.47,5.55,24.15,571.42,135202,1
0,49.98,43.67,34.98,4.36,112.82,749.98,368640,2
0,6.17,23.1,16.51,1.01,45.52,269.39,169823,1
0,22.92,35.47,26.21,0.78,84.23,392.7,256698,2
1,21.94,24.65,36.49,4.77,64.02,595.87,243251,1
0,45.39,1.76,31.66,5.23,24.06,354.99,80491,1
0,12.42,14.95,4.33,5.21,36.14,186.03,112860,1
1,21.16,2.79,34.84,3.99,19.66,300.87,74976,1
1,29.47,24.56,35.21,1.29,68.8,337.93,190652,1
1,1.19,32.77,7.02,4.72,68.89,381.93,240742,1
0,23.23,17.04,5.12,5.3,46.19,220.43,129752,1
1,13.52,26.15,9.51,0.48,65.32,267.27,185161,1
0,13.31,36.48,15.07,3.1,77.9,462.04,275700,1
0,3.18,46.72,3.62,2.77,94.93,485.72,331572,2
1,48.97,23.08,5.91,0.49,78.42,241.54,164231,1
0,22.59,3.95,21.35,4.53,19.47,231.69,66272,1
0,25.01,6.49,43.55,5.61,24.58,558.37,144694,1
1,30.89,39.47,35.55,4.66,97.17,725.54,343207,2
1,14.35,0.93,30.74,4.27,15.0,276.39,60251,1
1,44.11,49.86,0.32,3.21,126.2,501.35,350063,3
1,6.79,36.89,17.95,4.05,81.33,507.26,286228,2
0,4.17,15.45,16.37,2.24,30.36,228.65,123120,1
0,28.1,16.46,29.27,0.15,48.35,177.03,118705,1
0,26.01,3.92,38.25,4.69,21.25,391.57,98626,1
0,12.53,6.69,11.68,2.31,18.82,119.18,57796,1
0,31.18,1.4,29.81,2.94,16.57,201.05,47778,1
0,33.38,24.79,47.67,2.89,64.75,532.36,230687,1
0,30.61,35.2,41.08,4.71,85.18,740.14,324067,2
1,36.6,48.09,17.16,2.65,119.04,564.61,353738,2
1,33.91,15.31,17.82,3.24,52.45,265.73,129818,1
1,31.76,1.33,2.25,1.35,23.12,17.85,10383,1
1,48.63,21.19,44.62,1.3,69.97,329.78,172187,1
1,36.68,39.29,20.43,0.06,103.83,391.44,275661,2
1,38.2,28.28,6.13,5.72,81.78,358.11,213758,2
0,4.9,11.95,41.41,1.06,31.07,203.12,101291,1
0,37.4,41.93,28.07,4.31,98.97,665.68,342892,2
1,35.8,30.79,2.0,2.04,84.33,311.21,216932,2
0,25.32,17.98,33.58,2.75,47.43,364.35,163541,1
1,17.54,40.19,47.22,0.09,92.53,409.62,283454,2
0,38.87,28.57,13.12,4.12,73.5,395.99,222461,1
1,25.3,1.13,37.0,0.21,18.8,20.85,10714,1
1,49.75,38.13,38.13,3.1,103.27,623.93,315792,2
0,6.68,49.09,40.24,5.66,101.66,953.89,436773,2
1,8.96,43.42,7.65,5.08,97.45,505.93,318438,2
0,47.66,18.22,31.29,1.94,60.82,296.97,150668,1
0,39.63,28.47,22.09,2.05,79.95,375.74,218429,1
1,37.62,9.46,27.44,2.54,43.9,233.04,94181,1
0,33.28,7.95,5.5,3.02,33.33,106.2,61762,1
1,14.02,14.32,21.44,5.95,39.68,386.49,149548,1
1,49.51,9.58,39.13,4.75,50.78,460.64,140287,1
1,18.69,47.48,28.08,2.47,106.58,607.58,359249,2
0,18.75,49.08,7.93,1.17,105.64,515.5,348519,2
0,29.01,12.18,9.26,4.55,36.58,209.21,102984,1
1,43.32,44.76,40.52,0.6,117.0,501.21,324208,2
1,32.1,47.03,12.63,5.29,115.51,597.14,354770,2
1,2.48,0.65,12.53,4.57,4.92,126.67,29324,1
1,35.16,41.15,29.13,2.13,102.54,532.89,312713,2
1,41.28,19.96,46.05,0.81,69.05,279.1,156089,1
0,4.4,35.89,33.57,2.83,72.47,557.72,291971,1
0,16.43,45.27,49.22,4.59,98.29,911.9,409339,2
0,20.81,15.37,2.99,0.75,42.67,162.45,109997,1
0,36.76,26.03,41.17,4.15,69.8,597.33,249800,1
1,40.21,40.67,4.04,1.05,106.09,424.11,288607,2
1,39.33,25.92,22.82,5.46,76.6,502.94,230444,1
0,31.99,8.93,25.61,5.38,31.9,375.94,120035,1
1,30.93,40.63,26.11,4.26,102.64,627.35,329510,2
0,27.63,41.05,17.17,4.88,97.77,580.62,321734,2
1,17.45,18.97,18.1,5.05,50.96,370.46,169989,1
0,9.95,6.34,16.89,3.64,20.42,188.33,70081,1
1,40.04,45.59,30.02,4.77,118.4,752.04,379407,2
0,21.0,22.09,30.21,3.72,54.62,449.96,201311,1
1,21.2,1.63,40.12,1.14,17.43,110.83,30542,1
0,18.19,8.94,30.8,3.92,29.18,331.34,111535,1
1,24.35,42.91,26.78,2.41,103.95,547.04,324086,2
0,41.99,4.1,17.93,0.59,30.33,61.58,33344,1
1,48.03,0.14,16.88,5.67,28.9,190.03,39604,1
0,32.37,12.2,43.94,3.75,42.75,449.63,151835,1
1,3.16,12.09,14.08,1.02,30.87,153.19,92087,1
1,23.68,43.84,6.9,3.39,109.12,486.16,316537,2
1,36.2,8.68,7.44,0.15,40.38,89.42,61432,1
0,29.08,7.47,7.66,4.72,29.97,141.95,66321,1
1,35.85,46.13,18.2,1.3,114.33,510.16,333361,2
1,48.34,21.63,21.8,2.83,72.74,344.64,177838,1
1,20.46,29.11,41.78,5.99,74.9,788.44,303360,1
1,43.96,13.89,30.55,5.2,52.59,461.06,162309,1
0,8.07,19.68,38.39,4.39,45.5,533.08,205123,1
1,30.61,8.15,17.02,2.47,30.99,156.65,72470,1
0,46.74,17.34,31.43,4.6,55.76,456.45,178190,1
1,9.67,29.23,14.8,3.81,67.75,410.21,228990,1
1,14.18,36.42,17.34,0.79,84.02,389.63,260566,2
1,23.71,32.13,35.35,0.47,78.24,358.16,232523,1
0,8.5,8.31,1.49,0.81,16.58,85.98,59384,1
1,36.11,16.83,5.92,5.78,57.97,232.68,131669,1
1,45.06,17.19,25.08,1.99,60.42,261.34,139075,1
1,12.49,45.75,18.93,2.34,101.06,546.86,338641,2
1,40.83,34.2,7.7,0.03,91.24,338.05,239667,2
0,35.15,32.4,10.25,3.87,83.34,403.06,243317,2
0,19.42,39.69,0.52,5.35,90.03,397.25,278010,2
1,19.09,34.86,33.33,4.87,84.42,676.15,310194,2
0,39.25,25.45,44.3,0.15,69.77,265.42,180863,1
1,30.8,10.48,35.41,2.43,42.42,277.25,108347,1
0,44.37,28.29,45.81,5.58,81.04,797.59,301310,2
0,25.83,22.83,24.0,0.61,59.73,252.55,165320,1
1,24.16,9.13,27.05,0.96,37.6,135.68,73033,1
1,4.37,3.52,19.66,5.72,12.75,258.75,69685,1
0,15.54,18.04,4.71,3.95,46.62,220.19,134838,1
0,1.35,43.12,27.91,4.53,83.86,684.53,353459,2
1,28.42,43.75,17.15,0.59,108.14,457.85,311278,2
1,14.45,0.55,17.74,5.73,14.11,207.82,44726,1
1,12.09,18.44,19.06,4.55,48.46,369.49,166958,1
1,33.34,39.1,14.14,3.67,100.36,492.59,294481,2
1,12.2,35.49,31.61,2.15,81.16,504.04,279143,2
1,43.46,24.04,14.57,2.68,73.98,321.6,184811,1
1,25.47,5.59,19.2,2.33,23.34,144.18,57886,1
0,34.11,25.16,24.33,1.89,67.02,341.56,194436,1
1,44.66,11.45,48.38,5.91,49.72,685.7,194585,1
1,10.81,16.41,5.66,4.78,42.27,220.96,126386,1
0,19.75,0.32,5.82,3.63,11.74,44.13,11184,1
1,10.69,0.17,44.83,5.08,11.83,458.44,92877,1
0,46.49,19.16,40.37,2.61,59.06,408.11,178052,1
1,2.4,17.42,18.37,2.02,40.01,249.18,137565,1
0,13.33,5.25,5.17,0.14,19.33,60.64,38517,1
1,11.15,48.8,15.98,2.53,105.61,568.84,358577,2
1,7.1,44.67,23.49,2.73,96.78,579.34,339704,2
0,28.68,16.85,41.1,1.4,48.06,289.3,143067,1
1,2.17,36.2,0.3,2.43,78.68,358.04,253147,1
0,13.41,23.81,11.41,1.7,52.78,271.34,174269,1
0,48.47,26.17,4.38,1.8,73.6,276.63,187144,1
0,8.6,1.93,43.5,4.83,8.38,433.92,97128,1
0,21.16,9.68,19.54,4.72,31.57,269.19,103146,1
0,36.47,9.24,46.15,4.28,34.95,484.46,143740,1
1,45.04,28.58,10.67,2.65,84.87,353.19,214501,2
1,28.24,9.9,2.18,0.81,36.11,105.15,70859,1
0,43.24,37.89,21.28,3.87,101.55,542.85,298366,2
1,34.59,8.24,27.87,2.14,36.79,203.72,82723,1
1,42.45,23.48,7.33,4.52,73.24,288.66,175635,1
1,35.68,10.58,18.39,0.28,43.29,117.29,76880,1
1,27.5,31.71,48.03,4.01,77.9,700.2,299006,1
1,27.65,3.4,30.24,4.38,25.64,295.53,76837,1
1,16.29,37.28,38.37,1.43,88.17,482.3,283844,2
1,8.52,12.99,29.68,1.67,35.98,226.04,110651,1
1,12.19,29.55,46.78,0.26,69.13,325.9,213526,1
0,47.81,26.41,21.73,2.31,77.42,362.7,205211,1
0,38.32,44.27,5.95,2.58,109.26,474.19,316581,2
0,17.85,18.75,40.15,1.14,47.55,273.47,148790,1
0,8.91,24.82,1.1,5.18,53.19,263.6,176921,1
1,47.81,37.92,12.58,0.63,111.36,403.49,270529,2
1,2.7,42.05,11.17,0.58,91.17,430.46,296623,2
0,20.55,30.48,37.26,2.09,70.59,473.88,247532,1
0,11.59,41.43,49.18,1.66,86.9,570.22,321279,2
1,16.11,35.35,47.51,0.21,82.48,370.77,251121,2
0,35.88,48.95,25.64,2.08,113.88,597.79,364852,2
1,7.01,29.72,23.15,1.94,67.13,393.76,228141,1
1,2.54,41.79,31.92,1.62,91.88,515.99,312572,2
1,3.37,35.45,42.47,4.15,79.3,712.2,320594,1
1,21.51,29.16,12.67,1.88,74.91,333.83,213125,1
0,21.76,8.56,2.56,4.24,27.51,107.49,64381,1
1,5.82,9.21,6.43,2.63,27.82,122.98,71169,1
0,26.84,25.04,13.43,2.59,62.02,309.15,187198,1
1,10.92,7.64,39.95,4.73,27.96,467.46,132349,1
0,9.88,43.22,36.09,5.55,91.06,829.99,382874,2
0,44.17,29.11,8.4,1.49,81.99,315.8,209598,2
0,36.38,39.52,42.37,0.37,98.4,431.71,284159,2
1,27.13,24.71,6.34,0.52,71.71,254.38,174609,1
0,48.12,49.19,37.28,2.7,122.11,698.3,385963,3
1,13.65,3.92,38.1,3.52,19.44,297.56,79991,1
0,26.05,3.45,22.31,2.7,20.52,146.64,46715,1
1,1.66,7.47,33.34,2.2,23.07,220.06,82166,1
1,7.55,24.02,36.71,5.0,57.44,612.08,243100,1
1,22.58,23.82,14.8,4.85,65.51,379.35,195723,1
1,20.4,20.12,44.77,1.79,56.46,355.56,172052,1
0,22.13,13.33,8.37,0.84,34.97,142.53,95700,1
1,45.94,13.02,15.08,5.44,50.53,292.8,123958,1
1,23.48,3.53,10.06,0.62,23.66,56.65,29081,1
0,47.04,9.33,8.68,5.79,39.84,200.84,86827,1
0,2.01,45.83,8.37,5.22,94.09,544.82,338956,2
1,37.18,42.93,4.39,2.59,109.79,452.78,305482,2
0,30.1,13.7,36.92,5.22,41.14,525.37,174388,1
0,25.32,7.64,29.57,2.45,24.88,213.4,81112,1
0,3.65,44.88,1.57,3.89,93.73,458.53,316535,2
1,17.26,45.81,46.3,3.71,104.85,797.21,388733,2
1,48.97,32.89,13.72,5.86,93.88,486.87,262841,2
0,23.47,37.76,44.9,3.07,85.36,651.44,319546,2
1,33.88,30.41,20.96,0.76,80.15,326.12,218180,2
0,29.64,5.66,9.3,5.78,25.25,171.88,63377,1
1,13.85,39.28,31.76,3.05,89.72,586.09,313759,2
0,48.71,47.67,44.42,2.45,120.18,688.76,376129,3
1,31.96,7.11,35.15,3.86,35.2,338.89,103642,1
1,45.83,45.13,2.36,4.69,120.36,479.43,321940,3
1,20.83,48.89,41.67,3.28,113.1,756.83,396471,2
0,28.47,45.11,32.21,3.53,104.88,680.39,362108,2
1,14.13,10.66,34.23,5.19,34.96,457.27,145650,1
0,43.93,32.01,7.73,0.85,86.06,330.56,226279,2
1,1.31,41.04,41.88,1.98,87.74,574.12,320336,2
1,23.1,34.15,23.53,3.16,86.73,492.82,270209,2
1,27.57,27.61,25.93,5.44,75.26,562.18,251481,1
1,8.26,3.62,7.79,2.3,13.66,69.09,32554,1
1,28.7,17.68,33.28,4.36,51.71,472.3,183721,1
1,26.11,11.69,25.11,4.35,41.81,330.68,125497,1
0,13.24,3.94,5.55,2.61,12.66,64.1,33051,1
0,48.75,28.54,1.99,2.19,80.21,298.97,203268,2
1,1.06,32.43,11.81,3.93,70.2,406.69,244287,1
0,46.18,38.08,24.01,3.95,102.66,566.36,304384,2
1,34.56,29.06,10.65,0.16,77.72,295.99,205443,1
0,30.97,15.83,16.39,2.58,47.63,232.94,125885,1
1,20.18,18.49,14.76,1.27,54.48,220.95,137626,1
1,47.17,11.98,16.89,3.8,52.06,250.67,110912,1
1,27.97,26.87,35.52,0.69,74.74,315.02,198162,1
0,30.42,30.3,35.5,0.53,74.44,340.7,220039,1
1,26.08,17.76,20.34,4.39,58.39,359.55,161428,1
0,42.5,22.97,12.54,1.73,63.54,273.87,170492,1
1,3.67,45.74,44.63,2.01,99.16,640.13,357563,2
1,16.14,44.96,42.64,2.89,103.55,703.44,366331,2
0,49.78,39.54,4.56,5.94,105.58,444.34,286906,2
0,45.16,11.82,2.06,0.57,47.8,118.78,83691,1
1,35.78,38.63,28.79,5.56,96.29,698.34,333820,2
0,14.61,8.02,9.19,5.71,26.01,192.89,78942,1
1,39.64,7.35,30.81,1.23,42.04,156.57,68580,1
0,10.74,29.48,17.57,3.95,62.86,426.05,233369,1
1,5.0,36.04,30.9,4.15,79.09,623.52,305229,1
0,44.82,41.21,37.02,4.05,103.85,713.34,349269,2
0,25.66,47.48,33.49,2.74,106.68,653.69,369101,2
1,34.09,9.52,17.49,1.63,35.97,149.05,77733,1
1,28.07,3.37,18.78,5.73,26.53,247.7,67362,1
0,36.07,45.9,23.04,2.54,111.8,572.28,344735,2
0,37.21,13.33,48.71,2.26,48.86,356.46,138341,1
1,27.93,38.63,35.62,3.42,95.27,626.39,318982,2
1,11.3,10.25,49.49,0.59,29.21,164.33,84693,1
0,2.58,11.73,4.76,2.27,28.15,142.89,87445,1
0,11.71,4.63,46.24,0.6,16.02,104.19,44578,1
1,30.44,43.25,45.65,4.04,103.94,802.62,377681,2
0,18.19,49.02,39.42,4.21,108.43,822.83,409886,2
0,41.46,7.25,22.69,0.55,34.76,104.6,57571,1
1,37.16,46.86,44.86,1.78,115.98,622.24,359694,2
1,19.16,31.11,4.42,5.17,73.33,362.35,228997,1
0,24.76,7.28,42.23,2.22,26.5,258.08,88345,1
1,34.49,3.87,45.18,5.05,30.5,499.0,119964,1
1,32.9,36.91,19.74,0.86,97.76,406.33,266074,2
0,41.67,24.52,7.77,0.89,68.47,257.3,174276,1
0,47.15,7.05,45.8,3.22,41.2,361.76,107908,1
1,29.07,34.15,32.37,0.59,85.41,379.91,246862,2
0,23.82,13.08,29.29,4.22,38.39,375.14,141068,1
0,34.26,29.1,36.39,3.11,78.11,515.31,249205,1
0,1.64,7.26,30.05,4.6,17.1,354.66,107390,1
0,4.33,14.04,13.48,2.81,30.74,209.7,112182,1
0,7.93,48.96,2.93,2.0,100.59,497.54,344330,2
1,32.99,10.69,4.46,4.33,42.91,151.61,84335,1
1,48.73,0.63,12.52,3.47,29.62,92.41,22071,1
1,46.28,14.98,22.26,3.81,58.34,326.62,141248,1
1,5.15,7.33,1.31,5.8,19.56,90.79,55697,1
1,26.01,38.62,23.41,5.06,95.19,619.82,318021,2
0,14.07,42.0,35.4,1.19,92.18,501.57,310727,2
0,30.83,13.48,43.68,4.16,42.78,501.98,168519,1
0,33.22,21.86,16.13,4.32,61.06,362.77,182807,1
0,48.14,6.28,17.87,4.33,35.41,218.09,75875,1
1,21.96,21.87,18.23,0.63,62.78,246.38,158860,1
0,1.76,40.2,42.94,2.32,79.3,601.87,322112,1
0,21.67,33.8,14.82,1.02,78.25,370.77,243838,1
1,1.01,7.31,4.66,4.52,18.85,116.21,60275,1
1,13.81,8.64,22.49,0.09,30.97,90.58,61628,1
1,27.69,25.1,15.06,0.56,67.46,266.72,179006,1
0,46.13,5.65,8.23,0.99,30.14,75.14,43988,1
0,22.55,41.6,1.36,2.27,95.37,421.61,292406,2
1,11.22,36.19,11.48,3.87,79.18,450.48,271337,1
1,32.35,0.52,21.05,5.68,22.4,248.92,52805,1
1,31.82,38.19,23.38,4.47,98.8,588.3,309504,2
0,10.14,11.19,23.11,3.86,25.51,295.32,115978,1
1,34.1,1.15,5.1,4.38,24.88,53.29,17343,1
1,47.61,30.12,27.59,0.2,87.12,315.12,214700,2
1,19.02,9.95,10.2,2.94,34.99,161.05,82591,1
1,31.06,10.47,21.4,3.27,41.1,240.17,101420,1
0,10.69,14.83,38.23,5.33,35.7,550.66,184808,1
1,4.15,2.04,17.31,3.86,9.04,158.93,42865,1
0,14.88,48.59,27.69,3.77,102.64,689.07,380921,2
1,34.05,21.63,48.43,4.28,71.35,628.36,234776,1
1,24.01,18.55,20.94,5.48,53.36,412.58,175404,1
1,22.52,22.1,3.29,1.36,59.51,234.19,158077,1
1,8.64,41.11,24.86,0.41,95.42,438.5,293382,2
0,32.8,9.03,32.71,5.93,36.33,475.6,140711,1
0,15.18,22.08,47.9,0.23,47.53,244.24,159357,1
0,24.21,36.68,36.69,1.83,83.41,505.28,284729,2
1,38.25,3.48,38.26,4.27,29.83,372.64,92493,1
1,27.86,10.37,43.8,2.54,44.07,329.22,118171,1
0,15.43,2.99,1.65,0.26,16.54,23.64,20159,1
0,29.69,1.11,37.13,0.81,19.59,75.93,21358,1
0,10.89,5.1,24.36,0.48,11.74,76.02,41217,1
0,27.45,7.0,18.63,5.1,26.91,259.88,87494,1
0,36.79,27.7,4.71,4.75,72.4,325.09,204454,1
1,28.52,28.64,19.62,1.84,75.74,357.72,215463,1
1,42.64,48.34,36.76,5.65,122.59,898.75,421551,3
0,13.63,34.11,10.47,5.42,76.5,463.24,263950,1
1,33.67,13.85,13.04,0.83,53.86,162.98,102305,1
1,10.81,31.68,25.08,2.97,72.58,462.53,251656,1
0,31.26,34.55,17.63,2.4,86.01,432.54,260208,2
1,28.31,1.7,16.6,2.36,24.6,94.25,27726,1
0,46.07,2.43,49.05,4.34,30.79,449.86,102129,1
1,12.11,49.42,46.6,5.16,109.5,971.42,442432,2
0,9.38,10.04,28.35,3.56,21.7,307.26,112346,1
0,13.64,1.6,30.34,1.98,11.14,133.82,35325,1
0,45.83,1.68,27.15,5.15,27.79,305.93,70260,1
1,30.06,48.09,48.18,2.08,118.84,687.27,378432,2
1,10.12,43.48,11.4,4.08,99.36,520.93,322451,2
1,38.45,0.84,43.43,1.13,25.88,101.39,24979,1
0,8.54,21.5,49.97,4.96,47.03,703.55,248429,1
1,4.1,46.64,45.43,0.01,103.15,462.9,325981,2
0,13.26,19.96,26.08,3.87,45.17,408.75,182052,1
1,6.88,30.3,12.85,4.33,67.34,418.52,235815,1
0,21.67,36.58,38.07,4.33,86.02,694.37,321861,2
1,35.91,1.37,24.64,4.86,27.45,251.72,57777,1
1,28.24,36.68,44.99,3.47,93.64,671.16,318353,2
1,11.3,21.58,10.96,0.99,51.6,233.14,155584,1
1,16.47,22.07,34.74,0.93,58.16,275.86,166125,1
1,35.76,36.2,49.59,4.65,93.75,827.77,347057,2
0,16.03,6.57,6.98,0.38,20.83,72.28,47807,1
1,4.82,26.22,6.96,2.8,60.87,304.08,192325,1
1,46.08,44.1,45.64,0.26,116.97,466.12,314517,2
0,16.02,15.49,29.01,1.08,42.34,217.94,121452,1
1,32.01,4.66,42.74,5.66,28.2,532.83,130351,1
0,22.03,10.36,21.2,4.63,31.33,308.96,114068,1
1,18.78,40.01,22.49,1.48,93.4,467.3,293958,2
0,25.36,4.94,29.31,2.67,22.21,207.86,66595,1
0,14.34,17.88,35.67,0.7,40.49,234.56,136629,1
1,42.94,43.22,9.46,3.9,112.13,503.65,317501,2
0,24.29,12.11,35.65,5.37,37.12,502.55,161447,1
0,20.16,24.28,7.04,0.84,59.65,253.27,172176,1
1,30.77,4.79,4.09,3.48,30.65,84.48,41255,1
1,45.2,26.6,35.13,4.58,78.78,582.64,250041,1
1,44.75,8.94,8.09,4.35,45.84,165.66,78855,1
1,34.11,22.85,45.05,5.01,66.72,684.47,252051,1
1,23.47,2.91,17.46,3.0,23.22,133.07,42201,1
1,22.28,18.1,11.23,1.93,53.21,230.93,137108,1
1,43.16,29.53,31.87,2.89,82.69,479.31,243888,2
1,1.89,34.25,45.84,1.63,71.3,491.91,269844,1
1,22.55,5.57,22.77,5.9,25.03,321.96,93097,1
1,43.64,15.94,39.8,1.36,57.56,272.76,134884,1
0,48.79,24.14,6.99,0.5,74.97,240.47,169577,1
0,3.69,45.38,33.37,4.6,91.08,753.29,378307,2
0,44.85,18.06,19.14,3.9,55.59,328.47,156370,1
1,11.28,36.01,29.82,1.34,84.83,440.27,268215,2
1,8.52,10.14,28.95,0.78,32.53,141.91,79950,1
1,44.27,38.87,22.62,3.14,101.24,531.26,301230,2
1,22.74,26.76,20.07,2.01,66.4,354.32,205051,1
0,11.49,45.47,23.35,1.79,93.73,541.85,336596,2
0,46.05,9.03,9.52,5.96,37.85,195.75,84379,1
1,25.63,25.36,29.36,1.11,66.25,319.32,191018,1
1,48.46,5.9,46.94,3.1,39.15,334.57,97322,1
0,44.27,29.6,7.36,1.26,80.75,316.32,211649,2
1,7.16,28.72,26.11,3.64,66.24,470.81,238479,1
1,5.68,20.98,49.61,4.49,51.0,662.66,237714,1
1,14.51,33.85,8.46,5.92,79.48,440.63,257568,1
1,1.56,9.51,21.76,1.49,23.77,164.56,80688,1
1,4.21,30.44,14.85,2.3,67.58,368.23,226119,1
0,28.46,47.2,0.31,4.87,105.85,468.03,330358,2
1,34.33,22.76,43.5,0.41,63.5,271.97,168773,1
1,2.43,42.95,40.45,2.73,94.89,656.19,346395,2
1,15.59,7.86,40.03,0.04,27.99,84.39,57104,1
0,15.64,9.0,28.88,4.87,29.35,376.01,120726,1
1,43.62,46.19,32.08,0.83,114.75,521.24,335433,2
1,49.17,8.51,4.12,1.45,48.4,111.51,65686,1
0,2.36,42.87,16.49,2.13,86.85,509.88,317093,2
0,16.26,22.34,45.6,1.34,52.95,337.35,179185,1
